smiles_key,SMILES,HOMO(eV),HOMO_xtb_RD(eV),HOMO_HF_RD(eV),HOMO_DFT_RD(eV),LUMO(eV),LUMO_xtb_RD(eV),LUMO_HF_RD(eV),LUMO_DFT_RD(eV),GAP(eV),GAP_xtb_RD(eV),GAP_HF_RD(eV),GAP_DFT_RD(eV),ToT Energie(eV),ToT Energie(Kcal/mol),Times(s),rmsd_pre(A),rmsd_conf(A),rmsd1_conf(A),rmsd_opt(A),rmsd1_opt(A),rdkit_time,xtb_time,crest_time,xtb_opt_time,dft_time,xtb_cal_time,xTB_Lin,DFT_Lin
gdb 49736,O=CC1C2COCOC12,-6.511684674586,-7.6376,-10.403738444715788,-6.613615122018637,-0.5088529185740001,-2.7431,2.5532843108649925,-1.8114345822197848,6.002831756011999,4.894474967526,12.95702275558078,4.802180539798853,-18168.34683267512,-787.8540794894311,315.5714008808136,0.6654788058725318,0.665478805877773,0.6654788058777722,4.448814325430947e-11,4.065324199251974e-15,0.0177717208862304,0.9664862155914308,25.26924157142639,0.4497675895690918,286.18388199806213,0.0031900405883789,-6.422208305837241,-6.723411583540292
gdb 51841,O=CCC1COCC1=O,-6.737539178552,-7.8844,-10.196664665705953,-5.958863647341346,-1.093897718004,-7.4383,2.7391064388838013,-1.7811451948868977,5.643641460547999,0.446148234672,12.935771104589756,4.177718452454449,-18186.956615748564,-788.6610760559242,297.81285405159,0.6335603934092069,1.3913951264281157,1.3877162446596885,1.4041329377714344,0.01132609852773,0.0167269706726074,0.9156346321105956,28.145294189453125,0.4933831691741943,265.49209356307983,0.0011529922485351,-6.532603357208542,-6.4430944751675705
gdb 68005,OC12CC(=O)C3OC1C23,-6.552501753615999,-7.5418,-10.270834958839265,-6.414505383409501,-0.7864090559779999,-3.3875,2.582542014099434,-1.9064993691331016,5.766092697638,4.154269780432,12.8533769729387,4.508006014276399,-17515.548690340576,-759.5460730286327,293.0896201133728,0.2207843140734343,0.2168187583978175,0.2209353812296237,0.0117199656949334,0.0121291499074685,0.0111804008483886,0.6867430210113525,22.23486351966858,0.4550755023956299,267.0079092979431,0.0009956359863281,-6.37935641798728,-6.638167230019331
gdb 88148,OC1CC11OCCC1=O,-6.416444823516,-7.1783,-9.41769352426464,-5.8880842749369,-0.729265145336,-2.3115,2.7996542852895807,-1.5053851432987773,5.68717967818,4.866713130812,12.21734780955422,4.382699131638123,-18180.952140927555,-788.4006973860049,304.78510570526123,0.1757507470221785,0.1664994872819294,0.1744772144635161,0.0183247792907155,0.0172534266658681,0.0160305500030517,0.743218183517456,23.03099513053894,0.6035778522491455,277.76330184936523,0.0009703636169433,-6.216760789245515,-6.4127918797978865
gdb 98574,COC(=O)C1=NCCN1,-6.084465914071999,-7.7331,-8.584474061752676,-5.60106725161881,-1.080292024994,-3.9214,1.929551880616854,-1.860576365077224,5.004173889078,3.811760139718,10.51402594236953,3.740490886541586,-17991.783950757606,-780.1975883355442,273.426463842392,0.0864748187420871,0.6792387310124935,0.7207437038185813,0.691608302518797,0.0980622004523579,0.014540672302246,0.737879753112793,26.33925199508667,0.707404613494873,243.0214068889618,0.001056432723999,-6.464926001971598,-6.289912000726323
gdb 100494,CCC(C)C#CCC=O,-6.65318388189,-7.3853,-9.805617023796655,-6.593867970807239,-0.712938313724,-4.7057,2.631655940153827,-1.936991878430244,5.940245568166,2.679568081515,12.437272963950484,4.6568760923769945,-17017.241223735942,-737.9374162796081,359.16281032562256,0.3845466230128913,0.3807263586594197,0.3811184935299894,0.2647131266618775,0.007039573656708,0.0332410335540771,1.603806972503662,77.08320307731628,0.6168491840362549,277.1889009475708,0.0008845329284667,-6.3093530730131775,-6.714957285168675
gdb 118924,CCCC1(O)COC1=O,-7.284488037553999,-7.8752,-9.45043721814677,-5.830536032814539,-0.187758563538,-4.0522,2.443539556281644,-1.8148827589424952,7.096729474015999,3.822942238796,11.893976774428417,4.015653273872044,-18825.52712377432,-816.3521139045038,325.08328580856323,0.3578505067097211,1.501003759880305,1.499564240582937,1.4371143764108112,0.0153188417259472,0.0093133449554443,1.154933214187622,30.1935670375824,0.6490533351898193,290.4068908691406,0.0010013580322265,-6.528488144596645,-6.388153895085252
gdb 123702,C1C2OC3=C(ON=C3)C12,-5.994668340205999,-7.6982,-8.162973921429685,-5.675284739965695,-0.391843958688,-5.6255,2.2390567905976044,-1.4815149612879377,5.602824381517999,2.072753492398,10.40203071202729,4.193769778677758,-16475.427371588205,-714.4421441081871,271.12773299217224,0.3685440587139079,0.3757088368460192,0.3694119411282919,0.0076786474423985,0.0068104902050184,0.0108335018157958,0.6546432971954346,18.622098684310917,0.3522899150848388,248.78457593917847,0.0012409687042236,-6.449315032389514,-6.3216865480602396
gdb 127919,CN=C1NC=NNC1=O,-6.16337893353,-7.827,-8.70384984792395,-5.753112248516756,-0.93879281769,-6.6049,1.8412144714741616,-1.9556850278763207,5.22458611584,1.222109184055,10.545064319398112,3.797427220640435,-17124.970207557595,-742.6089871255859,280.76028966903687,0.3737205559095526,0.9238626251471984,0.9221275023812036,0.7957671990592764,0.0217251215133425,0.0136806964874267,0.872081995010376,21.75114488601685,0.402132511138916,254.91405296325684,0.001063585281372,-6.506928008956059,-6.355006644299258
gdb 132794,NC1=C(F)C=NC=C1O,-5.910313043544,-7.1308,-8.41714754938011,-5.740789410823602,-0.087076435264,-6.1869,2.5911805652121043,-1.054987936493344,5.8259577468820005,0.943944105306,11.008328114592214,4.685801474330258,-17424.95114989392,-755.6173918728857,245.2823257446289,0.2076425168208494,0.2151439882157814,0.2074127630069973,0.0127979547259178,0.0126405984754716,0.0130198001861572,0.560767650604248,20.8122615814209,0.3648443222045898,220.7715229988098,0.0008826255798339,-6.195513767608007,-6.349730898672577
