smiles_key,SMILES,HOMO(eV),HOMO_xtb_OB(eV),HOMO_HF_OB(eV),HOMO_DFT_OB(eV),LUMO(eV),LUMO_xtb_OB(eV),LUMO_HF_OB(eV),LUMO_DFT_OB(eV),GAP(eV),GAP_xtb_OB(eV),GAP_HF_OB(eV),GAP_DFT_OB(eV),ToT Energie(eV),ToT Energie(Kcal/mol),Times(s),rmsd_pre(A),rmsd_conf(A),rmsd1_conf(A),rmsd_opt(A),rmsd1_opt(A),rdkit_time,xtb_time,crest_time,xtb_opt_time,dft_time,xtb_cal_time
gdb 49736,O=CC1C2COCOC12,-6.511684674586,-7.5218,-10.285397895556208,-6.502123340000583,-0.5088529185740001,-2.4799,2.714648288639946,-1.703567671780816,6.002831756011999,5.041844504767,13.000046184196153,4.798555668219766,-18173.41019829817,-788.073647802322,310.7463536262512,0.4232332365348544,0.606976468286449,0.6072777731915757,0.5708247205756468,0.0061680726878765,2.8536369800567627,0.7354822158813477,25.801189422607425,0.4615297317504883,278.13130497932434,0.0007941722869873
gdb 51841,O=CCC1COCC1=O,-6.737539178552,-7.8739,-10.578326921647252,-6.387633462067505,-1.093897718004,-7.2579,2.6447154074093926,-1.8940298859822224,5.643641460547999,0.61599216439,13.223042329056645,4.493603576085283,-18186.047746495788,-788.6216637552279,305.82376050949097,0.6378250024313017,0.758367347839354,0.7500919579849646,0.7229208838839875,0.0241500978854661,0.7627401351928711,1.0487785339355469,27.41556739807129,0.4934179782867431,273.366806268692,0.0015933513641357
gdb 68005,OC12CC(=O)C3OC1C23,-6.552501753615999,-7.5413,-10.271205609509076,-6.415001489717936,-0.7864090559779999,-3.3872,2.5831106430682857,-1.905948415437485,5.766092697638,4.15405223956,12.854316252577362,4.509053074280451,-17515.548649158383,-759.5460712428038,292.97767329216003,0.1906075326315588,0.3233346820709953,0.3212191850021142,0.2361978684091645,0.0091969045592464,0.5675806999206543,0.5203676223754883,22.08103585243225,0.3695316314697265,266.70045948028564,0.0008111000061035
gdb 88148,OC1CC11OCCC1=O,-6.416444823516,-7.179,-9.417004116633285,-5.887355373828628,-0.729265145336,-2.3124,2.7992213208973844,-1.5062974538570453,5.68717967818,4.866607209665,12.21622543753067,4.381057919971583,-18180.95202966197,-788.4006925610726,306.1732449531555,0.3944135682837741,0.4043153287607863,0.3938179561746504,0.0153425889194321,0.0155661450491523,0.6298980712890625,0.7894153594970703,22.55624008178711,0.4596016407012939,279.04105591773987,0.0008933544158935
gdb 98574,COC(=O)C1=NCCN1,-6.084465914071999,-7.7329,-8.584343332064515,-5.600991991796488,-1.080292024994,-3.9212,1.9299237012041184,-1.8602455002417628,5.004173889078,3.811697080468,10.514267033268634,3.7407464915547255,-17991.783807987904,-780.197582144464,274.5673315525055,0.1740206413834679,0.8164361945953398,0.7983896158624564,0.7551651280086868,0.0713240321405426,0.3321714401245117,0.8837337493896484,24.973849058151245,0.5306088924407959,245.1494824886322,0.0008325576782226
gdb 100494,CCC(C)C#CCC=O,-6.65318388189,-7.3855,-9.80594834072184,-6.594409258216165,-0.712938313724,-4.7059,2.630848014761879,-1.9376563874991732,5.940245568166,2.679561106011,12.436796355483718,4.656752870716991,-17017.24080289169,-737.9373980300743,351.3266317844391,0.5693713057948091,1.3389144445120191,1.335647926199608,1.0478732875322905,0.0157908149784868,0.3480165004730224,1.843400478363037,66.42400670051575,0.7485916614532471,279.193067073822,0.0009536743164062
gdb 118924,CCCC1(O)COC1=O,-7.284488037553999,-7.8748,-9.449200124608652,-5.829879131189283,-0.187758563538,-4.0537,2.444002431264502,-1.81418699023972,7.096729474015999,3.821122793228,11.893202555873156,4.015692140949563,-18825.52681053225,-816.3521003210425,320.69776034355164,0.3365427002082156,0.3403696227459118,0.3377811764692073,0.0168297847341854,0.0185386974809073,0.5442643165588379,0.9634640216827391,26.5727858543396,0.6362967491149902,289.28453254699707,0.0009534358978271
gdb 123702,C1C2OC3=C(ON=C3)C12,-5.994668340205999,-7.6982,-8.162967086563507,-5.675278872398108,-0.391843958688,-5.6255,2.2390760493340447,-1.481496621937329,5.602824381517999,2.072756066383,10.402043135897552,4.193782250460779,-16475.427377942367,-714.4421443837296,275.3387312889099,0.4197785073974831,0.4272892349201401,0.4207749941134378,0.0080921484446335,0.0070931727857036,0.5967614650726318,0.5388689041137695,19.870256185531616,0.3438663482666015,251.2461633682251,0.0009303092956542
gdb 127919,CN=C1NC=NNC1=O,-6.16337893353,-7.827,-8.703862498583689,-5.753117698666824,-0.93879281769,-6.6049,1.8411504529664533,-1.955752361871257,5.22458611584,1.222152518175,10.545012951550142,3.797365336795568,-17124.970242511128,-742.6089886413146,282.4197144508362,0.3734490909323474,0.3802126143600114,0.373500900807085,0.0204411949187273,0.0200059822764458,1.1287224292755127,0.7500588893890381,21.249526500701904,0.3900821208953857,256.151487827301,0.0009543895721435
gdb 132794,NC1=C(F)C=NC=C1O,-5.910313043544,-6.8017,-8.210159390425693,-5.572230718269947,-0.087076435264,-6.056,3.1036294230597408,-0.563594260949473,5.8259577468820005,0.745764514793,11.313788813485434,5.008636457320474,-17425.52554982811,-755.6423002113041,235.52966165542605,0.1135387255317065,0.1754902422069957,0.1714567978189604,0.1164847616063,0.0053225493339573,0.366497278213501,0.4834063053131103,21.11228322982788,0.4782338142395019,210.34359192848208,0.0008320808410644
