No.,Class,SMILES,pIC50,Y-Label,MW,RBN,nCIC,nHDon,nHAcc,ALogP,TPSA,Qm,Energy,Dipole moment,HOMO,LUMO,HOMO-LUMO gap,Article Title,Reference,fp,desc,MW,ExactMolWt,LogP,HBA,HBD,TPSA,AromaticRings,RotatableBonds,HeavyAtoms,QED,FractionCSP3,RingCount,pIC50_pred,IC50_pred_nM
26,Steroid,CC12C(CCC2=O)C3[C@H](C(F)4F)[C@H]4C5=CC(CCC5(C)C3CC1)=O,8.226264579575219,Inactive,334.44,0,5,0,4,2.611,34.14,0.228266708,-1126.65157,5.4097,-0.23815,-0.05657,0.18158,"6 alpha,7 alpha-cyclopropane derivatives of androst-4-ene: a novel class of competitive aromatase inhibitors",Biochem Biophys Res Commun. 1991;177(1):401-6,[0 0 0 ... 0 0 0],"[334.4060000000001, 334.174436448, 4.188500000000004, 2, 0, 34.14, 0, 0, 24, 0.6655786521653276, 0.8, 5]",334.4060000000001,334.174436448,4.188500000000004,2,0,34.14,0,0,24,0.6655786521653276,0.8,5,8.2288994386105,5.903377577377774
27,Steroid,CC12C(CCC2=O)C3[C@H](C4)[C@H]4C5=CCCCC5(C)C3CC1,8.165966789804358,Active,284.48,0,5,0,1,4.111,17.07,0.19124051,-854.1686113,3.0077,-0.22279,-0.01167,0.21112,"6 alpha,7 alpha-cyclopropane derivatives of androst-4-ene: a novel class of competitive aromatase inhibitors",Biochem Biophys Res Commun. 1991;177(1):401-7,[0 0 0 ... 0 0 0],"[284.44300000000004, 284.214015516, 4.764300000000005, 1, 0, 17.07, 0, 0, 21, 0.5858725268385402, 0.85, 5]",284.44300000000004,284.214015516,4.764300000000005,1,0,17.07,0,0,21,0.5858725268385402,0.85,5,8.233156629642046,5.845792158275653
28,Steroid,CC12C(CCC2O)C3[C@H](C4)[C@H]4C5=CCCCC5(C)C3CC1,8.254251150912134,Inactive,286.5,0,5,1,1,4.15,20.23,0.185290627,-855.3610891,1.5374,-0.21969,0.02437,0.24406,"6 alpha,7 alpha-cyclopropane derivatives of androst-4-ene: a novel class of competitive aromatase inhibitors",Biochem Biophys Res Commun. 1991;177(1):401-8,[0 0 0 ... 0 0 0],"[286.459, 286.22966558, 4.556100000000004, 1, 1, 20.23, 0, 0, 21, 0.6474071906234734, 0.9, 5]",286.459,286.22966558,4.556100000000004,1,1,20.23,0,0,21,0.6474071906234734,0.9,5,8.304464343536132,4.960616533988944
29,Steroid,O=C1CCCC2(C)C1=CCC3C2CCC4(C)C3CCC4=O,8.224855234569844,Inactive,286.45,0,4,0,2,3.294,34.14,0.206982404,-890.1134876,4.399,-0.23176,-0.03316,0.1986,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-8,[0 0 0 ... 0 0 0],"[286.415, 286.193280072, 4.087400000000003, 2, 0, 34.14, 0, 0, 21, 0.6719379087230692, 0.7894736842105263, 4]",286.415,286.193280072,4.087400000000003,2,0,34.14,0,0,21,0.6719379087230692,0.7894736842105263,4,8.235477577146685,5.814634527984089
30,Steroid,O=C1CCCC2(C)C1=CCC3C2CCC4(C)C3CCC4O,8.301029995663981,Inactive,288.47,0,4,1,2,3.333,37.3,0.20257049,-891.3042535,3.6828,-0.23064,-0.03654,0.1941,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-9,[0 0 0 ... 0 0 0],"[288.431, 288.208930136, 3.879200000000003, 2, 1, 37.3, 0, 0, 21, 0.7342296115534325, 0.8421052631578947, 4]",288.431,288.208930136,3.879200000000003,2,1,37.3,0,0,21,0.7342296115534325,0.8421052631578947,4,8.293896347640587,5.082807386244899
31,Steroid,OC1CCCC2(C)C1=CCC3C2CCC4(C)C3CCC4=O,8.183570305539794,Active,288.47,0,4,1,2,3.333,37.3,0.202784735,-891.310661,1.6404,-0.23145,-0.01402,0.21743,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-10,[0 0 0 ... 0 0 0],"[288.43100000000004, 288.208930136, 3.8792000000000035, 2, 1, 37.3, 0, 0, 21, 0.6868426969908572, 0.8421052631578947, 4]",288.43100000000004,288.208930136,3.8792000000000035,2,1,37.3,0,0,21,0.6868426969908572,0.8421052631578947,4,8.222543415241438,5.990410511088821
32,Steroid,CC12C(C(OC(C)=O)CCC2)=CCC3C1CCC4(C)C3CCC4=O,8.221848749616356,Inactive,330.51,2,4,0,3,3.712,43.37,0.213627759,-1043.995215,2.1348,-0.23034,-0.01284,0.2175,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-11,[0 0 0 ... 0 0 0],"[330.4680000000001, 330.21949481999997, 4.450000000000004, 3, 0, 43.370000000000005, 0, 1, 24, 0.5268094332325617, 0.8095238095238095, 4]",330.4680000000001,330.21949481999997,4.450000000000004,3,0,43.370000000000005,0,1,24,0.5268094332325617,0.8095238095238095,4,8.232884166959492,5.849460774865985
33,Steroid,O=C1C=C2[C@@H](OC(C)=O)CCCC2(C)C3C1C(CCC4=O)C4(C)CC3,8.395528089706705,Inactive,344.49,2,4,0,4,2.782,60.44,0.231256642,-1118.009509,2.7929,-0.23212,-0.05124,0.18088,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-12,[0 0 0 ... 0 0 0],"[344.45100000000014, 344.198759376, 3.629000000000003, 4, 0, 60.440000000000005, 0, 1, 25, 0.6816293019238052, 0.7619047619047619, 4]",344.45100000000014,344.198759376,3.629000000000003,4,0,60.440000000000005,0,1,25,0.6816293019238052,0.7619047619047619,4,8.337796414546114,4.594133228512588
34,Steroid,O[C@H]1CCCC2(C)C1=CC(C3C2CCC4(C)C3CCC4=O)=O,8.283941583716755,Inactive,302.45,0,4,1,3,2.403,54.37,0.220046271,-965.3450502,4.8826,-0.22817,-0.05074,0.17743,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-13,[0 0 0 ... 0 0 0],"[302.41400000000004, 302.18819469199997, 3.058200000000002, 3, 1, 54.37, 0, 0, 22, 0.7479907013785353, 0.7894736842105263, 4]",302.41400000000004,302.18819469199997,3.058200000000002,3,1,54.37,0,0,22,0.7479907013785353,0.7894736842105263,4,8.295096208514462,5.068784079287477
35,Steroid,O=C1CCCC2(C)C1=CC(C3C2CCC4(C)C3CCC4=O)=O,8.264106016122115,Inactive,300.43,0,4,0,3,2.363,51.21,0.223815391,-964.143136,4.3743,-0.23278,-0.07762,0.15516,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-14,[0 0 0 ... 0 0 0],"[300.398, 300.17254462799997, 3.2664000000000017, 3, 0, 51.21, 0, 0, 22, 0.6896763188469792, 0.7368421052631579, 4]",300.398,300.17254462799997,3.2664000000000017,3,0,51.21,0,0,22,0.6896763188469792,0.7368421052631579,4,8.30818942616966,4.918249696559523
36,Steroid,O=C1CCCC2(C1=CC(C3C2CCC4(C3CC[C@@H]4O)C)=O)C,8.372211818798183,Inactive,302.45,0,4,1,3,2.403,54.37,0.220073958,-965.3173827,5.036,-0.23662,-0.07824,0.15838,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-15,[0 0 0 ... 0 0 0],"[302.41400000000004, 302.18819469199997, 3.058200000000001, 3, 1, 54.37, 0, 0, 22, 0.7479907013785353, 0.7894736842105263, 4]",302.41400000000004,302.18819469199997,3.058200000000001,3,1,54.37,0,0,22,0.7479907013785353,0.7894736842105263,4,8.379227619079769,4.176114339898275
37,Steroid,O=C1CCCC2(CO)C1=CC(C3C2CCC4(C)C3CCC4=O)=O,8.364641054073347,Inactive,316.43,1,4,1,4,1.272,71.44,0.228522085,-1039.345172,5.6466,-0.22962,-0.07411,0.15551,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-16,[0 0 0 ... 0 0 0],"[316.3970000000001, 316.16745924799994, 2.2388000000000003, 4, 1, 71.44, 0, 1, 23, 0.8051148630114217, 0.7368421052631579, 4]",316.3970000000001,316.16745924799994,2.2388000000000003,4,1,71.44,0,1,23,0.8051148630114217,0.7368421052631579,4,8.355006729872748,4.415636047844586
38,Steroid,O=C1CCCC2(C=O)C1=CC(C3C2CCC4(C)C3CCC4=O)=O,8.367296796294871,Inactive,314.41,1,4,0,4,1.529,68.28,0.230267333,-1038.140159,4.7368,-0.23893,-0.09129,0.14764,4-Oxygenated androst-5-en-17-ones and their 7-oxo derivatives as aromatase inhibitors,J Steroid Biochem Mol Biol. 1996;58(4):431-17,[0 0 0 ... 0 0 0],"[314.3810000000001, 314.15180918399994, 2.4454000000000002, 4, 0, 68.28, 0, 1, 23, 0.6971868677832186, 0.6842105263157895, 4]",314.3810000000001,314.15180918399994,2.4454000000000002,4,0,68.28,0,1,23,0.6971868677832186,0.6842105263157895,4,8.3315232158774,4.66097511378813
39,Steroid,CC12C(C(C)=CC3C2CCC4(C)C3CCC4=O)=CC(CC1)=O,8.462975004804038,Inactive,298.46,0,4,0,2,3.296,34.14,0.213611875,-928.2343375,2.7604,-0.23198,-0.06448,0.1675,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-602,[0 0 0 ... 0 0 0],"[298.42600000000004, 298.193280072, 4.253500000000003, 2, 0, 34.14, 0, 0, 22, 0.6695977993795551, 0.7, 4]",298.42600000000004,298.193280072,4.253500000000003,2,0,34.14,0,0,22,0.6695977993795551,0.7,4,8.441212859272751,3.620654969943706
40,Steroid,CC12C(C(CC)=CC3C2CCC4(C)C3CCC4=O)=CC(CC1)=O,8.467381229551243,Inactive,312.49,1,4,0,2,3.752,34.14,0.211005784,-967.5455623,2.7489,-0.23117,-0.06515,0.16602,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-603,[0 0 0 ... 0 0 0],"[312.45300000000003, 312.208930136, 4.643600000000004, 2, 0, 34.14, 0, 1, 23, 0.7063784338378765, 0.7142857142857143, 4]",312.45300000000003,312.208930136,4.643600000000004,2,0,34.14,0,1,23,0.7063784338378765,0.7142857142857143,4,8.42046824135619,3.797797100991042
41,Steroid,CC12C(C(CCC)=CC3C2CCC4(C)C3CCC4=O)=CC(CC1)=O,8.455722372778284,Inactive,326.52,2,4,0,2,4.208,34.14,0.209228037,-1006.859104,2.8604,-0.23123,-0.06302,0.16821,"6-Alkylandrosta-4,6-diene-3,17-diones and their 1,4,6-triene analogs as aromatase inhibitors. Structure-activity relationships",Steroids. 1997;62(8-9):595-604,[0 0 0 ... 0 0 0],"[326.4800000000001, 326.2245802, 5.033700000000004, 2, 0, 34.14, 0, 2, 24, 0.7126620325345314, 0.7272727272727273, 4]",326.4800000000001,326.2245802,5.033700000000004,2,0,34.14,0,2,24,0.7126620325345314,0.7272727272727273,4,8.423022806062209,3.7755236403572563
