smiles_key,SMILES,HOMO(eV),HOMO_xtb(eV),HOMO_DFT(eV),LUMO(eV),LUMO_xtb(eV),LUMO_DFT(eV),GAP(eV),GAP_xtb(eV),GAP_DFT(eV),Id,voc_pcbm(V),jsc_pcbm(A.m-2),pce_pcbm(%),voc_pcdtbt(V),jsc_pcdtbt(A.m-2),pce_pcdtbt(%),sas1(%),pce_pcbm_sas(%),pce_pcdtbt_sas(%),PCA1,PCA2,PCA3,tSNE1,tSNE2,Cluster
gdb 4611,NC1=COC(=O)C=N1,-5.883101657524,-10.4487,-5.668733965290747,-2.185074297406,-8.3828,-2.1304008462541653,3.698027360118,2.065949132664,3.538333119036582,4611,1.2831016575239997,1.2399969399499469,0.11489081192083597,3.014925702594,0.0,0.0,6.155090444782528,-6.040199632861691,-6.155090444782528,1.1061692765508255,-0.1716210966460847,0.7238063039222543,8.78168,-12.221016,0
gdb 4613,OC1=CNC(=N)C=N1,-5.132067403372,-9.9581,-5.15254844524323,-1.608192913782,-7.6585,-1.3942890257065574,3.52387448959,2.299615320778,3.7582594195366728,4613,0.5320674033720001,2.124784918030066,0.08163666359556833,3.591807086218,0.0,0.0,7.238111695710184,-7.156475032114615,-7.238111695710184,-2.4859177414285405,-0.3389564215480964,0.9609872734927272,-9.0563345,-14.023532,1
gdb 4618,OC1=COC(=N)C=N1,-5.820515469678,-10.6671,-5.8013992933875755,-2.057180783112,-8.3298,-1.9190859534522557,3.766055825168,2.337257592947,3.88231333993532,4618,1.220515469678,0.9976811543354851,0.0879303245606015,3.1428192168880003,0.0,0.0,6.789444446023222,-6.701514121462621,-6.789444446023222,0.39316801498624565,-0.000508088054706142,1.356360874640748,6.3034782,-11.716034,0
gdb 4807,[NH3+]CC1=CC([O-])=CO1,-5.159278789391999,-7.6339,-2.948215359641442,-2.968762214782,-5.1745,-0.9392641768244003,2.19051657461,2.459343889569,2.008951182817042,4807,0.5592787893919995,55.49629966284114,2.241279375638755,2.231237785218,0.0,0.0,7.568980935851734,-5.327701560212979,-7.568980935851734,-4.07718893121994,-2.5726403841670513,-6.929430138621772,-28.555815,6.2501464,1
gdb 5034,[O-]C1=COC=CC1=[NH2+],-4.998731611874,-9.6853,-4.948787272980307,-1.287098558746,-7.429,-1.2711793365098303,3.711633053128,2.25628481443,3.677607936470477,5034,0.3987316118739999,1.1876064456533655,0.0341945453345002,3.912901441254,0.0,0.0,7.568153036722112,-7.533958491387612,-7.568153036722112,-3.419248684039212,-0.5679684774422905,1.589260567418992,-11.999861,-13.51875,1
gdb 6059,NC(=[NH2+])C#CC([O-])=O,-5.632756906139999,-10.0035,-5.515573042420028,-2.24493934665,-7.8995,-2.089993601549901,3.38781755949,2.104073126174,3.425579440870127,6059,1.0327569061399993,3.1783078175727946,0.23702692539617037,2.9550606533500003,0.0,0.0,7.037107715253992,-6.800080789857821,-7.037107715253992,-0.7403216124939348,-1.0332055118633545,0.3387397702360291,-2.3043735,-19.805977,1
gdb 6273,CN(C)CC(=O)C=O,-6.079023636868,-9.884,-5.966908913072902,-2.40820766277,-9.1427,-2.649108283910418,3.670815974098,0.741289185328,3.317800629162484,6273,1.4790236368680005,1.351170627847177,0.14430750886654067,2.79179233723,0.0,0.0,7.172794274148249,-7.028486765281708,-7.172794274148249,0.9984635495162297,-2.0581506439388835,1.3564178746059434,6.154744,-4.603708,0
gdb 6683,[O-]C(=O)CCNC=[NH2+],-4.138851813642,-10.7954,-6.137340412265838,-2.05445964451,-6.1326,0.0155932954713327,2.084392169132,4.662862775121,6.152933707737171,6683,0.0,67.39573210164117,0.0,3.14554035549,0.0,0.0,7.785839973324041,-7.785839973324041,-7.785839973324041,-5.267008576728358,4.281843324935286,-3.478379591617718,-16.999865,26.161564,2
gdb 7902,CN1CC(=O)C(=O)C1,-5.790582945055999,-10.2754,-6.446840183882108,-2.552428008676,-8.8948,-2.7182127786087085,3.240876074982,1.380639200471,3.728627405273399,7902,1.1905829450559995,4.823186953291077,0.41466499256080014,2.6475719913240003,0.0,0.0,6.575456195726993,-6.160791203166193,-6.575456195726993,1.6704502562722645,-1.2020861498532214,-0.13382070640402935,13.796106,-11.722058,0
gdb 8721,O=CC(=O)C(=O)C#C,-6.99332620714,-11.3649,-6.826092989436996,-3.74156557775,-9.1151,-2.716269289310436,3.2490394907880003,2.249846314871,4.10982370012656,8721,2.3933262071400003,4.714998397640878,0.8148676279299746,1.45843442225,0.0,0.0,5.509770905137052,-4.694903277207078,-5.509770905137052,5.457189647841698,0.9274316985288823,-1.564313190628999,28.758038,-4.7918034,0
gdb 8723,O=CC(=O)C(=O)C=O,-6.949787989508001,-11.5756,-6.85539775080951,-4.274908743742,-9.5169,-2.893082129869044,2.674879245766,2.058642602369,3.9623156209404655,8723,2.349787989508001,0.0,0.0,0.9250912562579996,20.230635897526845,1.3514429877144982,4.99302321282936,-4.99302321282936,-3.641580225114862,9.197732475110593,4.506900537322795,-16.774380118104535,33.856274,1.9822206,0
gdb 8779,CN=C(N)C(=O)C=O,-6.574270862432,-10.5157,-6.3680921903852115,-2.786445928448,-8.4843,-1.975189472840466,3.787824933984,2.031395736854,4.392902717544746,8779,1.974270862432,0.9298459552739311,0.13256270619569363,2.4135540715520003,0.0,0.0,6.7609869205337665,-6.6284242143380725,-6.7609869205337665,2.0092492352808637,0.33283912880953337,1.1984843179938849,11.177828,-6.6645403,0
gdb 8786,CNC(=N)C(=O)C#N,-6.862711554243999,-10.8013,-7.064412328116652,-3.189174441544,-9.2903,-2.901256931616891,3.6735371127,1.511027912851,4.163155396499761,8786,2.2627115542439995,1.3396570401878067,0.21889026367495887,2.010825558456,0.0,0.0,6.684290230778057,-6.465399967103098,-6.684290230778057,3.686633325208947,-0.14172210718734077,0.9689650623788534,19.918715,-0.36159396,0
gdb 8792,CCC(=O)C(=O)C=O,-6.718491208338,-11.1713,-6.577405604292096,-3.077607758862,-9.1143,-2.4300919075016734,3.638162310874,2.056984165188,4.147313696790423,8792,2.1184912083380008,1.4965601013049,0.22894145986546735,2.1223922411380003,0.0,0.0,6.381922543734096,-6.152981083868629,-6.381922543734096,3.5200288376534936,0.4520573477896705,0.6469045822468465,24.080614,-4.851126,0
gdb 8793,CNC(=N)C(=O)C=O,-6.40828140771,-10.6858,-6.504957321504449,-3.23815493638,-8.5899,-2.0142472297758354,3.17012647133,2.09591173234,4.490710091728614,8793,1.8082814077099998,5.857125957545052,0.7648111306327687,1.96184506362,0.0,0.0,7.0018244770948534,-6.237013346462085,-7.0018244770948534,2.4130316354701877,-0.22854203436004153,-0.6807795047200691,17.204655,-11.687977,0
gdb 8794,CNC(=O)C(=O)C=O,-6.683116406512,-11.1187,-6.721428378081482,-3.232712659176,-9.0244,-2.4118126622368123,3.450403747336,2.094249605394,4.30961571584467,8794,2.0831164065120005,2.64609743317292,0.3980365836726362,1.9672873408240001,0.0,0.0,6.129783174326445,-5.731746590653809,-6.129783174326445,3.858946469077007,0.6829510420428786,-0.12260843712079185,25.315462,-4.913447,0
gdb 8795,COC(=O)C(=O)C=O,-6.955230266711999,-11.4995,-6.890307138515256,-3.37421186648,-8.9504,-2.0081904950257603,3.57829726163,2.549071186867,4.882116643489496,8795,2.3552302667119998,1.8006726190219757,0.30624693695876504,1.82578813352,0.0,0.0,5.559985062734098,-5.2537381257753335,-5.559985062734098,4.688335078846052,2.0580102586517226,-0.1346031184509441,26.470652,-5.9249244,0
gdb 8796,OCC(=O)C(=O)C=O,-6.742981455756,-11.1877,-6.511184263665487,-3.548364737008,-9.4795,-2.6242811012662557,3.194616718748,1.708198712005,3.886903162399231,8796,2.1429814557560007,5.478945850742004,0.8478500308356923,1.6516352629920001,0.0,0.0,5.959661455307042,-5.11181142447135,-5.959661455307042,4.690093151219569,-0.03892527603763878,-1.3700846564705145,28.722406,-4.3557596,0
gdb 9986,[NH2+]=CN[C-](C#N)C#N,-5.121182848964,-9.2691,-4.951322226781084,-1.439482320458,-6.965,-1.3244573780115971,3.681700528506,2.304034246566,3.626864848769487,9986,0.5211828489639998,1.3056519185656532,0.04913841523727323,3.7605176795420006,0.0,0.0,7.4199400229462995,-7.370801607709026,-7.4199400229462995,-3.3253828625560824,-0.5022191004510522,1.2552056560256588,-11.411797,-12.666702,1
gdb 10016,NC=[NH+][C-](C#N)C#N,-5.121182848964,-9.2693,-4.951548046455759,-1.439482320458,-6.9653,-1.3247778101795316,3.681700528506,2.303940858969,3.6267702362762275,10016,0.5211828489639998,1.3056519185656532,0.04913841523727323,3.7605176795420006,0.0,0.0,7.446155407561684,-7.397016992324411,-7.446155407561684,-3.3478197894617616,-0.5163940602706146,1.2714336612356176,-11.462732,-12.546363,1
gdb 10785,[NH2+]=C1O[CH-]C(=O)C=C1,-4.854511265968,-9.6436,-4.623276872726303,-1.831326279146,-7.7371,-1.6584378026100386,3.023184986822,1.906427743144,2.964839070116265,10785,0.2545112659680003,8.64819132164344,0.1589409919663093,3.368673720854,0.0,0.0,7.580337652106728,-7.421396660140418,-7.580337652106728,-3.3816100244907834,-1.4697577800894057,-0.2718400403665154,-22.123907,-1.274992,1
gdb 12585,NC1=NCC(=O)C1=O,-6.307599279436,-10.3527,-6.295181259640658,-3.08849231327,-9.5049,-3.1077138231661814,3.216385827564,0.847772484078,3.1874674364744764,12585,1.7075992794360004,5.1611088454955745,0.6364035597948641,2.11150768673,0.0,0.0,5.842733869100145,-5.20633030930528,-5.842733869100145,3.8736927268371737,-1.3663208380622642,-1.0599765619423926,30.850698,-4.8246517,0
gdb 12617,CC1C=CC(=O)C1=O,-6.31304155664,-10.7936,-6.360623258766263,-2.54426459287,-9.204,-2.616627620313739,3.76877696377,1.589604712263,3.743995638452524,12617,1.7130415566400001,0.9889601964351334,0.12233488844523788,2.6557354071300003,0.0,0.0,7.009456959778918,-6.88712207133368,-7.009456959778918,1.8966367701983435,-0.6481389890712224,1.524554655416787,11.65266,-3.2196987,0
gdb 12653,CC1NCC(=O)C1=O,-5.91847645935,-10.4787,-6.528651700766997,-2.514332068248,-8.9035,-2.695613228049737,3.404144391102,1.57513131302,3.83303847271726,12653,1.31847645935,3.0309150939909215,0.2885690633227513,2.685667931752,0.0,0.0,7.219882343569429,-6.931313280246678,-7.219882343569429,1.1637899351427952,-0.9978046047738212,0.7440089774998614,9.05356,-4.0464554,0
gdb 12654,CC1OCC(=O)C1=O,-6.457261902546,-11.1072,-6.554632696682113,-2.791888205652,-9.3428,-2.909549457463328,3.662652558292,1.764410404511,3.645083239218785,12654,1.8572619025459998,1.3862557704463547,0.18591744242452313,2.408111794348,0.0,0.0,6.83057279688299,-6.644655354458466,-6.83057279688299,2.6827417836599294,-0.5188830543580398,1.1311506676691796,13.626071,-3.1441574,0
gdb 13588,CN1CC1C(=O)C=O,-6.487194427168,-10.5508,-6.405204731523721,-2.73474429501,-9.2678,-2.806256814121534,3.752450132158,1.282940336064,3.598947917402187,13588,1.8871944271680003,1.0423540045065862,0.1420481244279661,2.46525570499,0.0,0.0,7.586062548415757,-7.444014423987792,-7.586062548415757,1.7281039696554064,-1.3691090351886313,1.7668028718529885,9.260807,0.48909363,0
gdb 16607,O=C1CN2CC2C1=O,-6.378348883088,-10.7725,-6.379217004145824,-2.590523949104,-9.086,-2.688867849616944,3.785103795382,1.686473128467,3.69034915452888,16607,1.778348883088,0.9380872659757545,0.12046581588195514,2.609476050896,0.0,0.0,6.881670621928359,-6.761204806046404,-6.881670621928359,2.0806020790849296,-0.532412980894201,1.4369013556495727,12.050669,-3.583987,0
gdb 20482,C1OC2=C(O1)N=NO2,-6.17698462654,-11.2682,-6.057502755379054,-2.487120682228,-8.1367,-0.891718726113975,3.689863944312,3.131505197448,5.165784029265079,20482,1.5769846265400005,1.2724373410738619,0.1448996992896606,2.7128793177720003,0.0,0.0,5.588287498543646,-5.443387799253985,-5.588287498543646,1.5737383172311041,3.8288318042587077,0.005485414327112241,-1.8672938,17.476925,0
gdb 21134,CN=C1NN=CC=N1,-5.869495964514,-9.9757,-5.835471963161028,-2.097997862142,-8.3115,-2.068132647027838,3.771498102372,1.664208027858,3.7673393161331905,21134,1.269495964514,0.9803092538672686,0.08986654519222034,3.1020021378580003,0.0,0.0,7.122130585692139,-7.032264040499919,-7.122130585692139,-0.4594759161168121,-0.9211679546895075,1.4726996647790391,-3.7536151,-19.164461,1
gdb 21364,N1C=CC2=C1ON=N2,-5.48309428303,-10.9361,-6.142088460202283,-1.844931972156,-7.4514,-0.6547885993073254,3.638162310874,3.48472697837,5.487299860894957,21364,0.8830942830299999,1.4965601013049,0.09543437969438082,3.355068027844,0.0,0.0,6.167708028604922,-6.072273648910541,-6.167708028604922,-1.426761015753122,4.859815330529441,0.17264007422241273,-8.400191,22.678194,2
gdb 21398,N=C1N=CN=NC=N1,-6.783798534786,-10.3846,-6.293762799067996,-3.542922459804,-10.025,-4.025525053541373,3.23815493638,0.35963726874,2.2682377455266227,21398,2.1837985347860007,4.859737039755399,0.766353172563458,1.6570775401959998,0.0,0.0,6.308168028604922,-5.541814856041464,-6.308168028604922,4.871945692683397,-2.955036384464888,-0.9361293041909319,32.478214,-4.1260295,0
gdb 21644,NC1=NNC(=N)C=N1,-5.376969877552,-9.8357,-5.152813093791096,-1.893912466992,-7.8988,-1.6279018543811015,3.48305741056,1.936943947191,3.5249112394099944,21644,0.776969877552,2.4016084477171775,0.13474417621241042,3.306087533008,0.0,0.0,7.005761016977152,-6.871016840764741,-7.005761016977152,-1.6299406344220901,-0.8238613174450801,0.6176829756509334,-6.1035333,-17.052399,1
gdb 21645,NC1=NNC(=N)N=C1,-5.48309428303,-9.8983,-5.302403695929965,-1.937450684624,-8.0265,-1.775624878180146,3.545643598406,1.871752025826,3.526778817749819,21645,0.8830942830299999,1.9892761822061256,0.1268544700103359,3.262549315376,0.0,0.0,6.978027985302943,-6.851173515292607,-6.978027985302943,-1.2870206874484436,-0.853598396058135,0.7775299160886349,-5.1649585,-17.445938,1
gdb 21703,NC=[NH+]C1=CN=N[N-]1,-5.461325174213999,-9.0679,-5.313881410807112,-1.771461229902,-7.4502,-1.565363239727204,3.689863944312,1.61772502943,3.7485181710799083,21703,0.8613251742139993,1.2724373410738619,0.07914202626569314,3.428538770098,0.0,0.0,7.910696763583486,-7.831554737317793,-7.910696763583486,-2.8707153588910517,-1.3018825928711892,1.574143779808218,-14.971143,-10.573655,1
gdb 21706,NC=[NH+]C1=NC=N[N-]1,-5.216422700034,-9.285,-5.194868089915442,-1.594587220772,-7.4891,-1.5133497661506787,3.621835479262,1.795932966916,3.681518323764763,21706,0.6164227000340003,1.5744810151382431,0.07008412747936645,3.605412779228,0.0,0.0,7.857055134624211,-7.786971007144845,-7.857055134624211,-3.1986201997950854,-1.1686709665504895,1.4713116805913762,-14.763839,-10.918668,1
gdb 21741,O1C=CC2=C1ON=N2,-6.049091112246,-11.7045,-6.685932089187232,-2.253102762456,-8.0625,-1.0738541479359345,3.79598834979,3.642034839709,5.6120779412512976,21741,1.449091112246,0.9055194410888519,0.09475389924461114,2.9468972375440003,0.0,0.0,5.6581957403018865,-5.5634418410572755,-5.6581957403018865,0.6142088266343113,5.525302742007364,0.2592416816284663,-6.6914964,22.143494,2
gdb 21769,O=C1C=CN=NC=C1,-6.685837545114,-10.8459,-6.550002160935991,-3.202780134554,-9.3675,-3.152333808771265,3.48305741056,1.47843391191,3.3976683521647257,21769,2.0858375451140008,2.4016084477171775,0.36173147743490536,1.9972198654459998,0.0,0.0,6.427368360415282,-6.065636882980376,-6.427368360415282,3.7365201978171494,-0.7595313599203862,0.1562933505272281,21.35668,-1.6030034,0
gdb 21770,O=C1N=CN=NC=N1,-6.97972051413,-10.7867,-6.451046704268514,-3.771498102372,-10.4498,-4.266574686468386,3.208222411758,0.336841376999,2.184472017800128,21770,2.3797205141300006,5.27832855378813,0.9070390677564872,1.428501897628,0.0,0.0,5.430100135906281,-4.523061068149794,-5.430100135906281,6.378250897655817,-2.4264396400126644,-1.7018235280729372,32.529816,-3.60784,0
gdb 21783,O=CC1=CN=NC=N1,-6.930740019293999,-10.4615,-6.700527492014292,-3.159241916922,-9.431,-3.1000826903421075,3.771498102372,1.030451409874,3.600444801672184,21783,2.3307400192939998,0.9803092538672686,0.1649911138988035,2.0407580830780003,0.0,0.0,6.015120230196434,-5.85012911629763,-6.015120230196434,4.224171601951241,-0.6212501868422634,0.730727599198669,21.211782,-3.1472027,0
gdb 21891,OC1=NNC(=N)C=N1,-5.812352053872,-10.3062,-5.790280129417255,-2.14969949558,-8.3518,-1.9555486520924679,3.662652558292,1.954447378918,3.834731477324787,21891,1.212352053872,1.3862557704463547,0.12136004774825634,3.05030050442,0.0,0.0,6.9274992537155295,-6.806139205967273,-6.9274992537155295,-0.26946375491687774,-0.43061159140618405,1.0872560223337588,-2.586508,-17.812832,1
gdb 22001,ON=C1C=CC=CC=C1,-5.23819180885,-10.2411,-5.77459971107318,-1.806836031728,-7.1855,-0.6439726558471064,3.431355777122,3.05560922054,5.130627055226074,22001,0.63819180885,2.7988726521847616,0.1289846363382807,3.3931639682720003,0.0,0.0,7.501634779288295,-7.372650142950015,-7.501634779288295,-3.2456158123272694,3.1159601994099773,0.4547157262713631,-11.686254,24.115364,2
gdb 22029,ON=C1C=CN=NC=C1,-6.220522844172,-10.1953,-5.899450103883218,-2.658552414154,-8.9276,-2.5692579174987302,3.5619704300179995,1.267751204759,3.330192186384488,22029,1.6205228441719999,1.8928425685778665,0.2214997656425619,2.5414475858460004,0.0,0.0,6.933989109600662,-6.712489343958101,-6.933989109600662,1.4802183456774585,-1.403503327329125,0.7494220176363825,7.6626887,-4.027583,0
gdb 22054,CC(=N[O-])C#CC(N)=[NH2+],-4.759271414898,-8.3229,-4.11628796776584,-1.7796246457079998,-7.533,-1.4822203558759095,2.97964676919,0.789842339445,2.63406761188993,22054,0.15927141489800062,9.672270448366525,0.11124228185075544,3.420375354292,0.0,0.0,7.742888475348332,-7.631646193497577,-7.742888475348332,-4.308488641563168,-2.9327645270235325,-0.39748175351571985,-24.517025,-1.2994052,1
gdb 22209,NC(=[NH2+])C(CC#C)=N[O-],-4.930703146824,-8.664,-4.577508630225739,-1.18369529187,-7.2727,-0.8804543701694555,3.749728993556,1.391300810479,3.6970542600562837,22209,0.33070314682400054,1.0515057967566983,0.025110399243299726,4.01630470813,0.0,0.0,7.827554244579101,-7.802443845335802,-7.827554244579101,-4.3459901654503,-1.4355395698481779,1.7021109227701339,-14.506554,-12.452829,1
gdb 22213,NC(=[NH2+])C(CC=O)=N[O-],-4.979683641659999,-9.0948,-4.72163787644924,-1.2299546481039998,-7.6217,-1.1348940900956832,3.749728993556,1.473118218805,3.5867437863535567,22213,0.3796836416599996,1.0515057967566983,0.028829504405370892,3.970045351896,0.0,0.0,7.6621543925080955,-7.633324888102725,-7.6621543925080955,-3.766124519341961,-1.342367936592334,1.6874445774501228,-14.283444,-12.928201,1
gdb 22229,C[NH2+]CC(=O)C(C)=N[O-],-5.023221859292,-9.3857,-4.939629247738727,-1.545606725936,-8.4795,-1.6623010294017528,3.477615133356,0.906159708197,3.2773282183369745,22229,0.4232218592919999,2.4408832904343596,0.0745965468983578,3.654393274064,0.0,0.0,7.740593558909133,-7.665997012010775,-7.740593558909133,-2.970496743022761,-2.3511643485039415,1.287957800278383,-15.925689,-13.824052,1
gdb 22230,C[NH2+]CC(=N[O-])C(C)=O,-5.039548690904,-10.2676,-6.436819989586913,-1.74152870528,-8.1208,-1.424788348356564,3.300741124226,2.146848569217,5.012031641230349,22230,0.4395486909039999,4.078556614056496,0.12945448614524654,3.4584712947200003,0.0,0.0,7.746584328139902,-7.617129841994656,-7.746584328139902,-2.502611456901227,1.4969303030618268,0.8097643583041737,-13.346103,21.954159,1
gdb 22438,C[NH+]=C(N)C(C=O)=N[O-],-4.767434830704,-9.2571,-4.905915765405211,-1.281656281542,-8.0457,-1.324392083969304,3.485778549162,1.211461808574,3.5815236814359066,22438,0.16743483070400061,2.3821859868776296,0.028802162219492798,3.918343718458,0.0,0.0,7.691657351087977,-7.662855188868484,-7.691657351087977,-3.6985036325825615,-1.7411934601556682,1.3190042964153892,-15.189332,-13.50441,1
gdb 22441,CNC(=[NH2+])C(C=O)=N[O-],-4.767434830704,-9.2569,-4.905694036854631,-1.281656281542,-8.0456,-1.3242430519438777,3.485778549162,1.211380586294,3.581450984910753,22441,0.16743483070400061,2.3821859868776296,0.028802162219492798,3.918343718458,0.0,0.0,7.671491670614604,-7.642689508395112,-7.671491670614604,-3.681552320988443,-1.7283993805260651,1.3060529987376521,-15.154182,-13.541027,1
gdb 22482,NC=[NH+]CC(CO)=N[O-],-4.106198150418,-10.3653,-5.574981437260904,-1.923844991614,-6.887,-0.0607044156824055,2.179632020202,3.478342915263,5.514277021578499,22482,0.0,56.63826938455213,0.0,3.2761550083860005,0.0,0.0,5.508221337396509,-5.508221337396509,-5.508221337396509,-3.412231421458376,4.400989573934067,-4.451358801766694,-17.440983,24.36664,2
gdb 22543,C[NH2+]C(C#C)C(C)=N[O-],-5.9157553207480005,-10.1428,-5.4690286744690155,-2.786445928448,-6.6216,-0.09833966093833359,3.1293093923,3.521246684949,5.370689013530682,22543,1.3157553207480006,6.538850835215799,0.6212697161177491,2.4135540715520003,0.0,0.0,7.388275910619087,-6.767006194501338,-7.388275910619087,-2.0968301927432,3.631406029993272,-1.3480467496901807,-9.862878,25.19615,2
gdb 22652,ON=C1CNC(C=O)=C1,-5.556565025284,-9.9588,-5.332334824263431,-2.206843406222,-8.4275,-2.2009596353606415,3.352442757664,1.531301480381,3.1313751889027897,22652,0.9565650252839999,3.5199560053788255,0.24313940655996022,2.993156593778,0.0,0.0,7.114806803014442,-6.871667396454482,-7.114806803014442,-0.722664626043594,-1.8173038158399182,0.36296967647518896,-1.6122415,-20.108135,1
gdb 22876,CN1C=CC(=NO)C1=N,-5.36064304594,-9.9696,-5.256840922427085,-1.57826038916,-7.9757,-1.5096418549570385,3.779661518178,1.99389554545,3.7471990674700466,22876,0.76064304594,0.9547715013561054,0.0524425698968976,3.62173961084,0.0,0.0,7.331188625442142,-7.278746055545244,-7.331188625442142,-2.128466051145275,-0.4821817336470546,1.5990504746867185,-8.353613,-13.12902,1
gdb 22971,[O-]N=C(C#N)C1CC[NH2+]1,-6.35385863567,-10.6569,-6.41952572382934,-2.8816857795179995,-8.3003,-1.730500670640104,3.472172856152,2.35664572634,4.689025053189235,22971,1.75385863567,2.480737490459066,0.3141803467309476,2.3183142204820006,0.0,0.0,4.778029349563091,-4.463849002832144,-4.778029349563091,3.682696090677843,2.2043392294866626,-0.9637001767905095,27.182226,-6.839531,0
gdb 22973,[O-]N=C(C=O)C1CC[NH2+]1,-5.839563439892,-10.5343,-6.426236016744608,-2.82998414608,-8.7658,-2.060283347578394,3.00685815521,1.768551016774,4.365952669166214,22973,1.2395634398920004,9.020572227336654,0.807432945599885,2.37001585392,0.0,0.0,6.612367595288662,-5.804934649688777,-6.612367595288662,1.8597744435326853,-0.3916322631605196,-1.2379923566662459,16.835678,-11.7740755,0
