smiles_key,SMILES,HOMO(eV),HOMO_xtb(eV),HOMO_DFT(eV),LUMO(eV),LUMO_xtb(eV),LUMO_DFT(eV),GAP(eV),GAP_xtb(eV),GAP_DFT(eV),Id,Approx Gap,Hardness (η),Chemical Potential (μ),Electrophilicity (ω),Gap Δ (Real - Approx)
gdb 4611,NC1=COC(=O)C=N1,-5.883101657524,-10.4487,-5.668733965290747,-2.185074297406,-8.3828,-2.1304008462541653,3.698027360118,2.065949132664,3.538333119036582,4611,0.05657833903279319,0.028289169516396595,-0.028289169516396595,0.014144584758198298,3.481754780003789
gdb 4613,OC1=CNC(=N)C=N1,-5.132067403372,-9.9581,-5.15254844524323,-1.608192913782,-7.6585,-1.3942890257065574,3.52387448959,2.299615320778,3.7582594195366728,4613,0.010224415911863405,0.005112207955931702,-0.005112207955931702,0.002556103977965851,3.7480350036248096
gdb 4618,OC1=COC(=N)C=N1,-5.820515469678,-10.6671,-5.8013992933875755,-2.057180783112,-8.3298,-1.9190859534522557,3.766055825168,2.337257592947,3.88231333993532,4618,0.17499498789585732,0.08749749394792866,-0.08749749394792866,0.04374874697396433,3.7073183520394624
gdb 4807,[NH3+]CC1=CC([O-])=CO1,-5.159278789391999,-7.6339,-2.948215359641442,-2.968762214782,-5.1745,-0.9392641768244003,2.19051657461,2.459343889569,2.008951182817042,4807,-0.09628602253303298,-0.04814301126651649,0.04814301126651649,-0.024071505633258244,2.105237205350075
gdb 5034,[O-]C1=COC=CC1=[NH2+],-4.998731611874,-9.6853,-4.948787272980307,-1.287098558746,-7.429,-1.2711793365098303,3.711633053128,2.25628481443,3.677607936470477,5034,-0.7829322206796635,-0.39146611033983175,0.39146611033983175,-0.19573305516991585,4.46054015715014
gdb 6059,NC(=[NH2+])C#CC([O-])=O,-5.632756906139999,-10.0035,-5.515573042420028,-2.24493934665,-7.8995,-2.089993601549901,3.38781755949,2.104073126174,3.425579440870127,6059,-1.9774136116553362,-0.9887068058276681,0.9887068058276681,-0.49435340291383406,5.4029930525254635
gdb 6273,CN(C)CC(=O)C=O,-6.079023636868,-9.884,-5.966908913072902,-2.40820766277,-9.1427,-2.649108283910418,3.670815974098,0.741289185328,3.317800629162484,6273,0.138440985413029,0.0692204927065145,-0.0692204927065145,0.03461024635325725,3.179359643749455
gdb 6683,[O-]C(=O)CCNC=[NH2+],-4.138851813642,-10.7954,-6.137340412265838,-2.05445964451,-6.1326,0.0155932954713327,2.084392169132,4.662862775121,6.152933707737171,6683,-1.384722196295859,-0.6923610981479295,0.6923610981479295,-0.3461805490739647,7.53765590403303
gdb 7902,CN1CC(=O)C(=O)C1,-5.790582945055999,-10.2754,-6.446840183882108,-2.552428008676,-8.8948,-2.7182127786087085,3.240876074982,1.380639200471,3.728627405273399,7902,0.025378396177856005,0.012689198088928003,-0.012689198088928003,0.0063445990444640004,3.703249009095543
gdb 8721,O=CC(=O)C(=O)C#C,-6.99332620714,-11.3649,-6.826092989436996,-3.74156557775,-9.1151,-2.716269289310436,3.2490394907880003,2.249846314871,4.10982370012656,8721,-0.4467391616111175,-0.22336958080555874,0.22336958080555874,-0.11168479040277937,4.556562861737677
gdb 8723,O=CC(=O)C(=O)C=O,-6.949787989508001,-11.5756,-6.85539775080951,-4.274908743742,-9.5169,-2.893082129869044,2.674879245766,2.058642602369,3.9623156209404655,8723,-0.6114209087455194,-0.3057104543727597,0.3057104543727597,-0.15285522718637984,4.573736529685985
gdb 8779,CN=C(N)C(=O)C=O,-6.574270862432,-10.5157,-6.3680921903852115,-2.786445928448,-8.4843,-1.975189472840466,3.787824933984,2.031395736854,4.392902717544746,8779,-0.39898128355162565,-0.19949064177581283,0.19949064177581283,-0.09974532088790641,4.7918840010963715
gdb 8786,CNC(=N)C(=O)C#N,-6.862711554243999,-10.8013,-7.064412328116652,-3.189174441544,-9.2903,-2.901256931616891,3.6735371127,1.511027912851,4.163155396499761,8786,-0.10412507239218599,-0.052062536196092996,0.052062536196092996,-0.026031268098046498,4.267280468891947
gdb 8792,CCC(=O)C(=O)C=O,-6.718491208338,-11.1713,-6.577405604292096,-3.077607758862,-9.1143,-2.4300919075016734,3.638162310874,2.056984165188,4.147313696790423,8792,0.21083045888093815,0.10541522944046908,-0.10541522944046908,0.05270761472023454,3.936483237909485
gdb 8793,CNC(=N)C(=O)C=O,-6.40828140771,-10.6858,-6.504957321504449,-3.23815493638,-8.5899,-2.0142472297758354,3.17012647133,2.09591173234,4.490710091728614,8793,-0.29539197457586774,-0.14769598728793387,0.14769598728793387,-0.07384799364396694,4.7861020663044815
gdb 8794,CNC(=O)C(=O)C=O,-6.683116406512,-11.1187,-6.721428378081482,-3.232712659176,-9.0244,-2.4118126622368123,3.450403747336,2.094249605394,4.30961571584467,8794,-0.4895834245378917,-0.24479171226894586,0.24479171226894586,-0.12239585613447293,4.799199140382561
gdb 8795,COC(=O)C(=O)C=O,-6.955230266711999,-11.4995,-6.890307138515256,-3.37421186648,-8.9504,-2.0081904950257603,3.57829726163,2.549071186867,4.882116643489496,8795,-0.31166819242754873,-0.15583409621377436,0.15583409621377436,-0.07791704810688718,5.193784835917045
gdb 8796,OCC(=O)C(=O)C=O,-6.742981455756,-11.1877,-6.511184263665487,-3.548364737008,-9.4795,-2.6242811012662557,3.194616718748,1.708198712005,3.886903162399231,8796,-0.5814742576257468,-0.2907371288128734,0.2907371288128734,-0.1453685644064367,4.468377420024978
gdb 9986,[NH2+]=CN[C-](C#N)C#N,-5.121182848964,-9.2691,-4.951322226781084,-1.439482320458,-6.965,-1.3244573780115971,3.681700528506,2.304034246566,3.626864848769487,9986,-0.9076327436358714,-0.4538163718179357,0.4538163718179357,-0.22690818590896786,4.5344975924053585
gdb 10016,NC=[NH+][C-](C#N)C#N,-5.121182848964,-9.2693,-4.951548046455759,-1.439482320458,-6.9653,-1.3247778101795316,3.681700528506,2.303940858969,3.6267702362762275,10016,-1.0717001049039037,-0.5358500524519518,0.5358500524519518,-0.2679250262259759,4.698470341180132
gdb 10785,[NH2+]=C1O[CH-]C(=O)C=C1,-4.854511265968,-9.6436,-4.623276872726303,-1.831326279146,-7.7371,-1.6584378026100386,3.023184986822,1.906427743144,2.964839070116265,10785,-0.793621210726202,-0.396810605363101,0.396810605363101,-0.1984053026815505,3.758460280842467
gdb 12585,NC1=NCC(=O)C1=O,-6.307599279436,-10.3527,-6.295181259640658,-3.08849231327,-9.5049,-3.1077138231661814,3.216385827564,0.847772484078,3.1874674364744764,12585,-0.4336788571912239,-0.21683942859561195,0.21683942859561195,-0.10841971429780597,3.6211462936657
gdb 12617,CC1C=CC(=O)C1=O,-6.31304155664,-10.7936,-6.360623258766263,-2.54426459287,-9.204,-2.616627620313739,3.76877696377,1.589604712263,3.743995638452524,12617,0.5423968258360421,0.27119841291802105,-0.27119841291802105,0.13559920645901052,3.2015988126164823
gdb 12653,CC1NCC(=O)C1=O,-5.91847645935,-10.4787,-6.528651700766997,-2.514332068248,-8.9035,-2.695613228049737,3.404144391102,1.57513131302,3.83303847271726,12653,0.06548132231376233,0.032740661156881165,-0.032740661156881165,0.016370330578440583,3.7675571504034977
gdb 12654,CC1OCC(=O)C1=O,-6.457261902546,-11.1072,-6.554632696682113,-2.791888205652,-9.3428,-2.909549457463328,3.662652558292,1.764410404511,3.645083239218785,12654,0.27175081862055467,0.13587540931027733,-0.13587540931027733,0.06793770465513867,3.37333242059823
gdb 13588,CN1CC1C(=O)C=O,-6.487194427168,-10.5508,-6.405204731523721,-2.73474429501,-9.2678,-2.806256814121534,3.752450132158,1.282940336064,3.598947917402187,13588,-0.034032877592171384,-0.017016438796085692,0.017016438796085692,-0.008508219398042846,3.632980794994358
gdb 16607,O=C1CN2CC2C1=O,-6.378348883088,-10.7725,-6.379217004145824,-2.590523949104,-9.086,-2.688867849616944,3.785103795382,1.686473128467,3.69034915452888,16607,-0.14302990199790613,-0.07151495099895307,0.07151495099895307,-0.03575747549947653,3.833379056526786
gdb 20482,C1OC2=C(O1)N=NO2,-6.17698462654,-11.2682,-6.057502755379054,-2.487120682228,-8.1367,-0.891718726113975,3.689863944312,3.131505197448,5.165784029265079,20482,0.2993189768693715,0.14965948843468574,-0.14965948843468574,0.07482974421734287,4.866465052395707
gdb 21134,CN=C1NN=CC=N1,-5.869495964514,-9.9757,-5.835471963161028,-2.097997862142,-8.3115,-2.068132647027838,3.771498102372,1.664208027858,3.7673393161331905,21134,0.03333077072567031,0.016665385362835156,-0.016665385362835156,0.008332692681417578,3.7340085454075203
gdb 21364,N1C=CC2=C1ON=N2,-5.48309428303,-10.9361,-6.142088460202283,-1.844931972156,-7.4514,-0.6547885993073254,3.638162310874,3.48472697837,5.487299860894957,21364,0.5439834083052446,0.2719917041526223,-0.2719917041526223,0.13599585207631115,4.943316452589713
gdb 21398,N=C1N=CN=NC=N1,-6.783798534786,-10.3846,-6.293762799067996,-3.542922459804,-10.025,-4.025525053541373,3.23815493638,0.35963726874,2.2682377455266227,21398,-0.40140399481143996,-0.20070199740571998,0.20070199740571998,-0.10035099870285999,2.669641740338063
gdb 21644,NC1=NNC(=N)C=N1,-5.376969877552,-9.8357,-5.152813093791096,-1.893912466992,-7.8988,-1.6279018543811015,3.48305741056,1.936943947191,3.5249112394099944,21644,-0.3692593807942775,-0.18462969039713875,0.18462969039713875,-0.09231484519856939,3.894170620204272
gdb 21645,NC1=NNC(=N)N=C1,-5.48309428303,-9.8983,-5.302403695929965,-1.937450684624,-8.0265,-1.775624878180146,3.545643598406,1.871752025826,3.526778817749819,21645,-0.3692593807942775,-0.18462969039713875,0.18462969039713875,-0.09231484519856939,3.8960381985440966
gdb 21703,NC=[NH+]C1=CN=N[N-]1,-5.461325174213999,-9.0679,-5.313881410807112,-1.771461229902,-7.4502,-1.565363239727204,3.689863944312,1.61772502943,3.7485181710799083,21703,-1.2828415146182672,-0.6414207573091336,0.6414207573091336,-0.3207103786545668,5.031359685698176
gdb 21706,NC=[NH+]C1=NC=N[N-]1,-5.216422700034,-9.285,-5.194868089915442,-1.594587220772,-7.4891,-1.5133497661506787,3.621835479262,1.795932966916,3.681518323764763,21706,-1.2828415146182672,-0.6414207573091336,0.6414207573091336,-0.3207103786545668,4.9643598383830305
gdb 21741,O1C=CC2=C1ON=N2,-6.049091112246,-11.7045,-6.685932089187232,-2.253102762456,-8.0625,-1.0738541479359345,3.79598834979,3.642034839709,5.6120779412512976,21741,0.6595283679441513,0.32976418397207563,-0.32976418397207563,0.16488209198603782,4.952549573307146
gdb 21769,O=C1C=CN=NC=C1,-6.685837545114,-10.8459,-6.550002160935991,-3.202780134554,-9.3675,-3.152333808771265,3.48305741056,1.47843391191,3.3976683521647257,21769,0.1500608040891957,0.07503040204459785,-0.07503040204459785,0.037515201022298925,3.24760754807553
gdb 21770,O=C1N=CN=NC=N1,-6.97972051413,-10.7867,-6.451046704268514,-3.771498102372,-10.4498,-4.266574686468386,3.208222411758,0.336841376999,2.184472017800128,21770,-0.4807687292648175,-0.24038436463240875,0.24038436463240875,-0.12019218231620438,2.6652407470649457
gdb 21783,O=CC1=CN=NC=N1,-6.930740019293999,-10.4615,-6.700527492014292,-3.159241916922,-9.431,-3.1000826903421075,3.771498102372,1.030451409874,3.600444801672184,21783,0.07391875703687523,0.03695937851843761,-0.03695937851843761,0.018479689259218807,3.526526044635309
gdb 21891,OC1=NNC(=N)C=N1,-5.812352053872,-10.3062,-5.790280129417255,-2.14969949558,-8.3518,-1.9555486520924679,3.662652558292,1.954447378918,3.834731477324787,21891,-0.3043081152125174,-0.1521540576062587,0.1521540576062587,-0.07607702880312935,4.139039592537304
gdb 22001,ON=C1C=CC=CC=C1,-5.23819180885,-10.2411,-5.77459971107318,-1.806836031728,-7.1855,-0.6439726558471064,3.431355777122,3.05560922054,5.130627055226074,22001,0.6894580039450364,0.3447290019725182,-0.3447290019725182,0.1723645009862591,4.441169051281038
gdb 22029,ON=C1C=CN=NC=C1,-6.220522844172,-10.1953,-5.899450103883218,-2.658552414154,-8.9276,-2.5692579174987302,3.5619704300179995,1.267751204759,3.330192186384488,22029,0.07451441428236427,0.037257207141182136,-0.037257207141182136,0.018628603570591068,3.255677772102124
gdb 22054,CC(=N[O-])C#CC(N)=[NH2+],-4.759271414898,-8.3229,-4.11628796776584,-1.7796246457079998,-7.533,-1.4822203558759095,2.97964676919,0.789842339445,2.63406761188993,22054,-0.7822398852082106,-0.3911199426041053,0.3911199426041053,-0.19555997130205266,3.416307497098141
gdb 22209,NC(=[NH2+])C(CC#C)=N[O-],-4.930703146824,-8.664,-4.577508630225739,-1.18369529187,-7.2727,-0.8804543701694555,3.749728993556,1.391300810479,3.6970542600562837,22209,-0.7702933392818603,-0.38514666964093014,0.38514666964093014,-0.19257333482046507,4.467347599338144
gdb 22213,NC(=[NH2+])C(CC=O)=N[O-],-4.979683641659999,-9.0948,-4.72163787644924,-1.2299546481039998,-7.6217,-1.1348940900956832,3.749728993556,1.473118218805,3.5867437863535567,22213,-0.9635446173961075,-0.48177230869805376,0.48177230869805376,-0.24088615434902688,4.550288403749664
gdb 22229,C[NH2+]CC(=O)C(C)=N[O-],-5.023221859292,-9.3857,-4.939629247738727,-1.545606725936,-8.4795,-1.6623010294017528,3.477615133356,0.906159708197,3.2773282183369745,22229,-0.15574788188766364,-0.07787394094383182,0.07787394094383182,-0.03893697047191591,3.433076100224638
gdb 22230,C[NH2+]CC(=N[O-])C(C)=O,-5.039548690904,-10.2676,-6.436819989586913,-1.74152870528,-8.1208,-1.424788348356564,3.300741124226,2.146848569217,5.012031641230349,22230,-0.15574788188766364,-0.07787394094383182,0.07787394094383182,-0.03893697047191591,5.167779523118012
gdb 22438,C[NH+]=C(N)C(C=O)=N[O-],-4.767434830704,-9.2571,-4.905915765405211,-1.281656281542,-8.0457,-1.324392083969304,3.485778549162,1.211461808574,3.5815236814359066,22438,-1.187999362303306,-0.593999681151653,0.593999681151653,-0.2969998405758265,4.769523043739213
gdb 22441,CNC(=[NH2+])C(C=O)=N[O-],-4.767434830704,-9.2569,-4.905694036854631,-1.281656281542,-8.0456,-1.3242430519438777,3.485778549162,1.211380586294,3.581450984910753,22441,-1.031064927837655,-0.5155324639188275,0.5155324639188275,-0.2577662319594137,4.6125159127484086
gdb 22482,NC=[NH+]CC(CO)=N[O-],-4.106198150418,-10.3653,-5.574981437260904,-1.923844991614,-6.887,-0.0607044156824055,2.179632020202,3.478342915263,5.514277021578499,22482,-1.1494441500223258,-0.5747220750111629,0.5747220750111629,-0.28736103750558145,6.663721171600825
gdb 22543,C[NH2+]C(C#C)C(C)=N[O-],-5.9157553207480005,-10.1428,-5.4690286744690155,-2.786445928448,-6.6216,-0.09833966093833359,3.1293093923,3.521246684949,5.370689013530682,22543,-0.03395532256833575,-0.016977661284167875,0.016977661284167875,-0.008488830642083937,5.404644336099017
gdb 22652,ON=C1CNC(C=O)=C1,-5.556565025284,-9.9588,-5.332334824263431,-2.206843406222,-8.4275,-2.2009596353606415,3.352442757664,1.531301480381,3.1313751889027897,22652,-0.007342354698640113,-0.0036711773493200567,0.0036711773493200567,-0.0018355886746600283,3.13871754360143
gdb 22876,CN1C=CC(=NO)C1=N,-5.36064304594,-9.9696,-5.256840922427085,-1.57826038916,-7.9757,-1.5096418549570385,3.779661518178,1.99389554545,3.7471990674700466,22876,0.40644787214887823,0.20322393607443912,-0.20322393607443912,0.10161196803721956,3.340751195321168
gdb 22971,[O-]N=C(C#N)C1CC[NH2+]1,-6.35385863567,-10.6569,-6.41952572382934,-2.8816857795179995,-8.3003,-1.730500670640104,3.472172856152,2.35664572634,4.689025053189235,22971,-0.13167272982396794,-0.06583636491198397,0.06583636491198397,-0.032918182455991984,4.820697783013204
gdb 22973,[O-]N=C(C=O)C1CC[NH2+]1,-5.839563439892,-10.5343,-6.426236016744608,-2.82998414608,-8.7658,-2.060283347578394,3.00685815521,1.768551016774,4.365952669166214,22973,-0.33111561337269,-0.165557806686345,0.165557806686345,-0.0827789033431725,4.697068282538904
gdb 22979,OCC(=N[O-])C1CC[NH2+]1,-6.010995171818,-10.1432,-5.324441367123677,-2.77556137404,-6.7939,0.016546040505504598,3.232712659176,3.349284413701,5.340987407629182,22979,-0.3016137863979298,-0.1508068931989649,0.1508068931989649,-0.07540344659948245,5.642601194027112
gdb 23066,CC(=N[O-])C12C[NH+]1CC2,-5.53751705507,-10.159,-5.356689492129433,-2.223170237834,-6.8777,-0.2296942990475523,3.314346817236,3.281330938182,5.12699519308188,23066,0.04605900528240389,0.023029502641201946,-0.023029502641201946,0.011514751320600973,5.080936187799477
gdb 23140,[O-]N=C(CC#C)C1C[NH2+]1,-5.885822796126,-10.2687,-5.530873792016127,-2.663994691358,-6.9072,-0.3795279652148097,3.219106966166,3.361525824823,5.151345826801317,23140,-0.19507240551476646,-0.09753620275738323,0.09753620275738323,-0.04876810137869161,5.346418232316084
gdb 23152,COCC(=N[O-])C1C[NH2+]1,-5.855890271504,-10.4132,-5.495580371954507,-2.609571919318,-7.0659,-0.3826469590221009,3.246318352186,3.347305690803,5.1129334129324056,23152,-0.19767431684756356,-0.09883715842378178,0.09883715842378178,-0.04941857921189089,5.310607729779969
gdb 23364,NC(=[NH2+])C(=N[O-])C1CN1,-4.919818592415999,-10.0309,-6.2991376468213005,-1.33335791498,-7.2095,-0.6893035481957052,3.586460677436,2.821403256804,5.609834098625595,23364,-1.163569674529379,-0.5817848372646895,0.5817848372646895,-0.2908924186323448,6.773403773154974
gdb 23509,ON=C1C=C2NC3C2C13,-5.695343093986001,-9.7787,-5.346229231221602,-2.008200288276,-8.1779,-2.115195496957026,3.68714280571,1.600792754909,3.231033734264576,23509,0.39032541719787794,0.19516270859893897,-0.19516270859893897,0.09758135429946949,2.840708317066698
gdb 23615,[O-]N=C(C1C[NH2+]1)C1CO1,-5.929361013758,-10.4609,-6.336376976190822,-2.655831275552,-6.8161,-0.00710080781283755,3.273529738206,3.644733118688,6.329276168377985,23615,-0.3288769855674103,-0.16443849278370515,0.16443849278370515,-0.08221924639185257,6.658153153945395
gdb 23724,FC1=CNC(=N)C=N1,-5.613708935926,-10.4952,-5.6124868492305096,-1.814999447534,-8.0529,-1.6761188702858987,3.798709488392,2.44235135462,3.936367978944611,23724,0.2589117652593927,0.12945588262969634,-0.12945588262969634,0.06472794131484817,3.6774562136852182
gdb 23840,FC1=NNC(=N)C=N1,-6.269503339008,-10.6802,-6.300896294881275,-2.484399543626,-8.833,-2.311581903964501,3.785103795382,1.84729506116,3.989314390916774,23840,-0.0515309845395617,-0.02576549226978085,0.02576549226978085,-0.012882746134890426,4.040845375456335
gdb 23841,FC1=NNC(=N)N=C1,-6.266782200406,-10.5756,-6.314140947696898,-2.47623612782,-8.8901,-2.3729356113898974,3.790546072586,1.685432372089,3.9412053363070005,23841,-0.0515309845395617,-0.02576549226978085,0.02576549226978085,-0.012882746134890426,3.992736320846562
gdb 24471,N1C=NC2=CN=CC2=C1,-5.26540319487,-9.7885,-5.246520525649726,-1.52383761712,-7.6484,-1.498544805795274,3.74156557775,2.140093537217,3.747975719854452,24471,0.7345560464470112,0.3672780232235056,-0.3672780232235056,0.1836390116117528,3.0134196734074408
gdb 24525,N1C=CC=C2C=NC=C12,-4.963356810048,-9.4375,-4.948431441900595,-1.567375834752,-7.5672,-1.54166130136433,3.395980975296,1.870327634981,3.4067701405362643,24525,1.0361234677826079,0.5180617338913039,-0.5180617338913039,0.25903086694565197,2.370646672753656
gdb 24528,N1C=CN=C2C=CC=C12,-5.053154383914,-9.5133,-5.041065151139844,-1.5809815277619998,-7.6069,-1.5644554305174312,3.46945171755,1.906329012969,3.476609720622413,24528,1.0361234677826079,0.5180617338913039,-0.5180617338913039,0.25903086694565197,2.440486252839805
gdb 24530,N1C=CN=C2C=NC=C12,-5.336152798522,-9.8398,-5.326445305345181,-2.179632020202,-8.2084,-2.1571210927158306,3.15652077832,1.631388706139,3.16932421262935,24530,0.7345560464470112,0.3672780232235056,-0.3672780232235056,0.1836390116117528,2.434768166182339
gdb 24535,N1C=NC=C2C=NC=C12,-5.450440619806,-9.8994,-5.438626066664666,-1.839489694952,-7.9507,-1.81840001610854,3.610950924854,1.948720055594,3.620226050556126,24535,0.7345560464470113,0.36727802322350567,-0.36727802322350567,0.18363901161175286,2.885670004109115
gdb 24538,O1C=CC=C2C=CC=C12,-5.191932452615999,-9.6858,-5.168633877358683,-1.627240883996,-7.6713,-1.6511964048411012,3.56469156862,2.014473076683,3.517437472517582,24538,1.4508319115557506,0.7254159557778753,-0.7254159557778753,0.36270797788893766,2.0666055609618317
gdb 24540,O1C=CC=C2C=NC=C12,-5.51030566905,-10.0305,-5.474426907758719,-2.19051657461,-8.2603,-2.2119484201993402,3.31978909444,1.770195350931,3.262478487559379,24540,1.1536552232213089,0.5768276116106544,-0.5768276116106544,0.2884138058053272,2.1088232643380698
gdb 24543,O1C=CN=C2C=CC=C12,-5.621872351732,-10.1272,-5.593090755871298,-2.223170237834,-8.3346,-2.2572536313774596,3.398702113898,1.792569048034,3.3358371244938385,24543,1.153655223221309,0.5768276116106545,-0.5768276116106545,0.2884138058053273,2.1821819012725294
gdb 24545,O1C=CN=C2C=NC=C12,-5.967456954186,-10.3957,-5.920804086031602,-2.824541868876,-8.9626,-2.865838342830738,3.14291508531,1.433079206938,3.0549657432008637,24545,0.8489542074965375,0.42447710374826875,-0.42447710374826875,0.21223855187413437,2.2060115357043264
gdb 24548,O1C=NC=C2C=CC=C12,-5.608266658722,-10.1633,-5.603034091238004,-1.9047970214,-8.0602,-1.9207286726882211,3.703469637322,2.103123399569,3.6823054185497828,24548,1.153655223221309,0.5768276116106545,-0.5768276116106545,0.2884138058053273,2.5286501953284737
gdb 24550,O1C=NC=C2C=NC=C12,-5.981062647196,-10.3923,-5.960055182973786,-2.47623612782,-8.6614,-2.491377006834933,3.504826519376,1.730863194076,3.468678176138853,24550,0.8489542074965375,0.42447710374826875,-0.42447710374826875,0.21223855187413437,2.6197239686423153
gdb 24760,O=C1C=CC2=C1C=CN2,-5.453161758408,-10.0781,-5.378249636889506,-2.032690535694,-8.4149,-2.117440785637244,3.420471222714,1.663230535426,3.260808851252262,24760,0.8855518280373967,0.44277591401869837,-0.44277591401869837,0.22138795700934918,2.375257023214865
gdb 24761,O=C1C=CC2=C1C=CO2,-5.910313043544,-10.709,-5.814311587965552,-2.487120682228,-8.9742,-2.5941214315125056,3.423192361316,1.734837915706,3.220190156453046,24761,1.003950829048044,0.501975414524022,-0.501975414524022,0.250987707262011,2.2162393274050025
gdb 24762,O=C1C=CC2=C1N=CN2,-5.893986211931999,-10.5499,-5.814996418946676,-2.348342613526,-8.8039,-2.4370420732407965,3.545643598406,1.745955632663,3.37795434570588,24762,0.582136593335302,0.291068296667651,-0.291068296667651,0.1455341483338255,2.795817752370578
gdb 24763,O=C1C=CC2=C1N=CO2,-6.391954576098,-11.2221,-6.286011514892133,-2.805493898662,-9.371,-2.913729391972805,3.586460677436,1.851111303192,3.372282122919328,24763,0.6977431939224386,0.3488715969612193,-0.3488715969612193,0.17443579848060964,2.6745389289968893
gdb 24764,O=C1C=CC2=C1NC=C2,-5.589218688508,-10.2099,-5.540321060009245,-2.084392169132,-8.435,-2.146696563408363,3.504826519376,1.774874938739,3.393624496600882,24764,0.8855518280373967,0.44277591401869837,-0.44277591401869837,0.22138795700934918,2.5080726685634853
gdb 24765,O=C1C=CC2=C1NC=N2,-5.953851261175999,-10.62,-5.891298937337647,-2.402765385566,-8.8654,-2.480041312977661,3.5538070142119995,1.754648750027,3.4112576243599864,24765,0.582136593335302,0.291068296667651,-0.291068296667651,0.1455341483338255,2.8291210310246844
gdb 24766,O=C1C=CC2=C1OC=C2,-6.076302498266,-10.8632,-6.009243082721957,-2.53065889986,-8.9806,-2.6037833179590444,3.545643598406,1.88262610034,3.4054597647629126,24766,1.003950829048044,0.501975414524022,-0.501975414524022,0.250987707262011,2.401508935714869
gdb 24767,O=C1C=CC2=C1OC=N2,-6.479031011362,-11.3107,-6.397158219666902,-2.862637809304,-9.4175,-2.9446455361864485,3.616393202058,1.89321871323,3.452512683480453,24767,0.6977431939224387,0.34887159696121933,-0.34887159696121933,0.17443579848060967,2.7547694895580146
gdb 24768,O=C1C=CC2=CC=CN12,-5.845005717096,-10.5737,-5.839543668875174,-2.247660485252,-8.6211,-2.2921726497823505,3.597345231844,1.952597812056,3.5473710190928234,24768,0.8284711450482477,0.41423557252412385,-0.41423557252412385,0.20711778626206193,2.718899874044576
