smiles_key,SMILES,HOMO(eV),HOMO_xtb(eV),HOMO_DFT(eV),LUMO(eV),LUMO_xtb(eV),LUMO_DFT(eV),GAP(eV),GAP_xtb(eV),GAP_DFT(eV),Id,voc_pcbm(V),jsc_pcbm(A.m-2),pce_pcbm(%),voc_pcdtbt(V),jsc_pcdtbt(A.m-2),pce_pcdtbt(%),sas1(%),pce_pcbm_sas(%),pce_pcdtbt_sas(%)
gdb 8779,CN=C(N)C(=O)C=O,-6.574270862432,-10.5157,-6.3680921903852115,-2.786445928448,-8.4843,-1.975189472840466,3.787824933984,2.031395736854,4.392902717544746,8779,1.974270862432,0.9298459552739311,0.13256270619569363,2.4135540715520003,0.0,0.0,6.7609869205337665,-6.6284242143380725,-6.7609869205337665
gdb 8786,CNC(=N)C(=O)C#N,-6.862711554243999,-10.8013,-7.064412328116652,-3.189174441544,-9.2903,-2.901256931616891,3.6735371127,1.511027912851,4.163155396499761,8786,2.2627115542439995,1.3396570401878067,0.21889026367495887,2.010825558456,0.0,0.0,6.684290230778057,-6.465399967103098,-6.684290230778057
gdb 8792,CCC(=O)C(=O)C=O,-6.718491208338,-11.1713,-6.577405604292096,-3.077607758862,-9.1143,-2.4300919075016734,3.638162310874,2.056984165188,4.147313696790423,8792,2.1184912083380008,1.4965601013049,0.22894145986546735,2.1223922411380003,0.0,0.0,6.381922543734096,-6.152981083868629,-6.381922543734096
gdb 8793,CNC(=N)C(=O)C=O,-6.40828140771,-10.6858,-6.504957321504449,-3.23815493638,-8.5899,-2.0142472297758354,3.17012647133,2.09591173234,4.490710091728614,8793,1.8082814077099998,5.857125957545052,0.7648111306327687,1.96184506362,0.0,0.0,7.0018244770948534,-6.237013346462085,-7.0018244770948534
gdb 8794,CNC(=O)C(=O)C=O,-6.683116406512,-11.1187,-6.721428378081482,-3.232712659176,-9.0244,-2.4118126622368123,3.450403747336,2.094249605394,4.30961571584467,8794,2.0831164065120005,2.64609743317292,0.3980365836726362,1.9672873408240001,0.0,0.0,6.129783174326445,-5.731746590653809,-6.129783174326445
gdb 8795,COC(=O)C(=O)C=O,-6.955230266711999,-11.4995,-6.890307138515256,-3.37421186648,-8.9504,-2.0081904950257603,3.57829726163,2.549071186867,4.882116643489496,8795,2.3552302667119998,1.8006726190219757,0.30624693695876504,1.82578813352,0.0,0.0,5.559985062734098,-5.2537381257753335,-5.559985062734098
gdb 8796,OCC(=O)C(=O)C=O,-6.742981455756,-11.1877,-6.511184263665487,-3.548364737008,-9.4795,-2.6242811012662557,3.194616718748,1.708198712005,3.886903162399231,8796,2.1429814557560007,5.478945850742004,0.8478500308356923,1.6516352629920001,0.0,0.0,5.959661455307042,-5.11181142447135,-5.959661455307042
gdb 9986,[NH2+]=CN[C-](C#N)C#N,-5.121182848964,-9.2691,-4.951322226781084,-1.439482320458,-6.965,-1.3244573780115971,3.681700528506,2.304034246566,3.626864848769487,9986,0.5211828489639998,1.3056519185656532,0.04913841523727323,3.7605176795420006,0.0,0.0,7.4199400229462995,-7.370801607709026,-7.4199400229462995
gdb 10016,NC=[NH+][C-](C#N)C#N,-5.121182848964,-9.2693,-4.951548046455759,-1.439482320458,-6.9653,-1.3247778101795316,3.681700528506,2.303940858969,3.6267702362762275,10016,0.5211828489639998,1.3056519185656532,0.04913841523727323,3.7605176795420006,0.0,0.0,7.446155407561684,-7.397016992324411,-7.446155407561684
gdb 10785,[NH2+]=C1O[CH-]C(=O)C=C1,-4.854511265968,-9.6436,-4.623276872726303,-1.831326279146,-7.7371,-1.6584378026100386,3.023184986822,1.906427743144,2.964839070116265,10785,0.2545112659680003,8.64819132164344,0.1589409919663093,3.368673720854,0.0,0.0,7.580337652106728,-7.421396660140418,-7.580337652106728
gdb 12585,NC1=NCC(=O)C1=O,-6.307599279436,-10.3527,-6.295181259640658,-3.08849231327,-9.5049,-3.1077138231661814,3.216385827564,0.847772484078,3.1874674364744764,12585,1.7075992794360004,5.1611088454955745,0.6364035597948641,2.11150768673,0.0,0.0,5.842733869100145,-5.20633030930528,-5.842733869100145
gdb 12617,CC1C=CC(=O)C1=O,-6.31304155664,-10.7936,-6.360623258766263,-2.54426459287,-9.204,-2.616627620313739,3.76877696377,1.589604712263,3.743995638452524,12617,1.7130415566400001,0.9889601964351334,0.12233488844523788,2.6557354071300003,0.0,0.0,7.009456959778918,-6.88712207133368,-7.009456959778918
gdb 12653,CC1NCC(=O)C1=O,-5.91847645935,-10.4787,-6.528651700766997,-2.514332068248,-8.9035,-2.695613228049737,3.404144391102,1.57513131302,3.83303847271726,12653,1.31847645935,3.0309150939909215,0.2885690633227513,2.685667931752,0.0,0.0,7.219882343569429,-6.931313280246678,-7.219882343569429
gdb 12654,CC1OCC(=O)C1=O,-6.457261902546,-11.1072,-6.554632696682113,-2.791888205652,-9.3428,-2.909549457463328,3.662652558292,1.764410404511,3.645083239218785,12654,1.8572619025459998,1.3862557704463547,0.18591744242452313,2.408111794348,0.0,0.0,6.83057279688299,-6.644655354458466,-6.83057279688299
gdb 13588,CN1CC1C(=O)C=O,-6.487194427168,-10.5508,-6.405204731523721,-2.73474429501,-9.2678,-2.806256814121534,3.752450132158,1.282940336064,3.598947917402187,13588,1.8871944271680003,1.0423540045065862,0.1420481244279661,2.46525570499,0.0,0.0,7.586062548415757,-7.444014423987792,-7.586062548415757
gdb 16607,O=C1CN2CC2C1=O,-6.378348883088,-10.7725,-6.379217004145824,-2.590523949104,-9.086,-2.688867849616944,3.785103795382,1.686473128467,3.69034915452888,16607,1.778348883088,0.9380872659757545,0.12046581588195514,2.609476050896,0.0,0.0,6.881670621928359,-6.761204806046404,-6.881670621928359
gdb 20482,C1OC2=C(O1)N=NO2,-6.17698462654,-11.2682,-6.057502755379054,-2.487120682228,-8.1367,-0.891718726113975,3.689863944312,3.131505197448,5.165784029265079,20482,1.5769846265400005,1.2724373410738619,0.1448996992896606,2.7128793177720003,0.0,0.0,5.588287498543646,-5.443387799253985,-5.588287498543646
gdb 21134,CN=C1NN=CC=N1,-5.869495964514,-9.9757,-5.835471963161028,-2.097997862142,-8.3115,-2.068132647027838,3.771498102372,1.664208027858,3.7673393161331905,21134,1.269495964514,0.9803092538672686,0.08986654519222034,3.1020021378580003,0.0,0.0,7.122130585692139,-7.032264040499919,-7.122130585692139
gdb 21364,N1C=CC2=C1ON=N2,-5.48309428303,-10.9361,-6.142088460202283,-1.844931972156,-7.4514,-0.6547885993073254,3.638162310874,3.48472697837,5.487299860894957,21364,0.8830942830299999,1.4965601013049,0.09543437969438082,3.355068027844,0.0,0.0,6.167708028604922,-6.072273648910541,-6.167708028604922
gdb 21398,N=C1N=CN=NC=N1,-6.783798534786,-10.3846,-6.293762799067996,-3.542922459804,-10.025,-4.025525053541373,3.23815493638,0.35963726874,2.2682377455266227,21398,2.1837985347860007,4.859737039755399,0.766353172563458,1.6570775401959998,0.0,0.0,6.308168028604922,-5.541814856041464,-6.308168028604922
gdb 21644,NC1=NNC(=N)C=N1,-5.376969877552,-9.8357,-5.152813093791096,-1.893912466992,-7.8988,-1.6279018543811015,3.48305741056,1.936943947191,3.5249112394099944,21644,0.776969877552,2.4016084477171775,0.13474417621241042,3.306087533008,0.0,0.0,7.005761016977152,-6.871016840764741,-7.005761016977152
gdb 21645,NC1=NNC(=N)N=C1,-5.48309428303,-9.8983,-5.302403695929965,-1.937450684624,-8.0265,-1.775624878180146,3.545643598406,1.871752025826,3.526778817749819,21645,0.8830942830299999,1.9892761822061256,0.1268544700103359,3.262549315376,0.0,0.0,6.978027985302943,-6.851173515292607,-6.978027985302943
gdb 21703,NC=[NH+]C1=CN=N[N-]1,-5.461325174213999,-9.0679,-5.313881410807112,-1.771461229902,-7.4502,-1.565363239727204,3.689863944312,1.61772502943,3.7485181710799083,21703,0.8613251742139993,1.2724373410738619,0.07914202626569314,3.428538770098,0.0,0.0,7.910696763583486,-7.831554737317793,-7.910696763583486
gdb 21706,NC=[NH+]C1=NC=N[N-]1,-5.216422700034,-9.285,-5.194868089915442,-1.594587220772,-7.4891,-1.5133497661506787,3.621835479262,1.795932966916,3.681518323764763,21706,0.6164227000340003,1.5744810151382431,0.07008412747936645,3.605412779228,0.0,0.0,7.857055134624211,-7.786971007144845,-7.857055134624211
gdb 21741,O1C=CC2=C1ON=N2,-6.049091112246,-11.7045,-6.685932089187232,-2.253102762456,-8.0625,-1.0738541479359345,3.79598834979,3.642034839709,5.6120779412512976,21741,1.449091112246,0.9055194410888519,0.09475389924461114,2.9468972375440003,0.0,0.0,5.6581957403018865,-5.5634418410572755,-5.6581957403018865
gdb 21769,O=C1C=CN=NC=C1,-6.685837545114,-10.8459,-6.550002160935991,-3.202780134554,-9.3675,-3.152333808771265,3.48305741056,1.47843391191,3.3976683521647257,21769,2.0858375451140008,2.4016084477171775,0.36173147743490536,1.9972198654459998,0.0,0.0,6.427368360415282,-6.065636882980376,-6.427368360415282
gdb 21770,O=C1N=CN=NC=N1,-6.97972051413,-10.7867,-6.451046704268514,-3.771498102372,-10.4498,-4.266574686468386,3.208222411758,0.336841376999,2.184472017800128,21770,2.3797205141300006,5.27832855378813,0.9070390677564872,1.428501897628,0.0,0.0,5.430100135906281,-4.523061068149794,-5.430100135906281
gdb 21783,O=CC1=CN=NC=N1,-6.930740019293999,-10.4615,-6.700527492014292,-3.159241916922,-9.431,-3.1000826903421075,3.771498102372,1.030451409874,3.600444801672184,21783,2.3307400192939998,0.9803092538672686,0.1649911138988035,2.0407580830780003,0.0,0.0,6.015120230196434,-5.85012911629763,-6.015120230196434
gdb 21891,OC1=NNC(=N)C=N1,-5.812352053872,-10.3062,-5.790280129417255,-2.14969949558,-8.3518,-1.9555486520924679,3.662652558292,1.954447378918,3.834731477324787,21891,1.212352053872,1.3862557704463547,0.12136004774825634,3.05030050442,0.0,0.0,6.9274992537155295,-6.806139205967273,-6.9274992537155295
gdb 22001,ON=C1C=CC=CC=C1,-5.23819180885,-10.2411,-5.77459971107318,-1.806836031728,-7.1855,-0.6439726558471064,3.431355777122,3.05560922054,5.130627055226074,22001,0.63819180885,2.7988726521847616,0.1289846363382807,3.3931639682720003,0.0,0.0,7.501634779288295,-7.372650142950015,-7.501634779288295
gdb 22029,ON=C1C=CN=NC=C1,-6.220522844172,-10.1953,-5.899450103883218,-2.658552414154,-8.9276,-2.5692579174987302,3.5619704300179995,1.267751204759,3.330192186384488,22029,1.6205228441719999,1.8928425685778665,0.2214997656425619,2.5414475858460004,0.0,0.0,6.933989109600662,-6.712489343958101,-6.933989109600662
gdb 22054,CC(=N[O-])C#CC(N)=[NH2+],-4.759271414898,-8.3229,-4.11628796776584,-1.7796246457079998,-7.533,-1.4822203558759095,2.97964676919,0.789842339445,2.63406761188993,22054,0.15927141489800062,9.672270448366525,0.11124228185075544,3.420375354292,0.0,0.0,7.742888475348332,-7.631646193497577,-7.742888475348332
gdb 22209,NC(=[NH2+])C(CC#C)=N[O-],-4.930703146824,-8.664,-4.577508630225739,-1.18369529187,-7.2727,-0.8804543701694555,3.749728993556,1.391300810479,3.6970542600562837,22209,0.33070314682400054,1.0515057967566983,0.025110399243299726,4.01630470813,0.0,0.0,7.827554244579101,-7.802443845335802,-7.827554244579101
gdb 22213,NC(=[NH2+])C(CC=O)=N[O-],-4.979683641659999,-9.0948,-4.72163787644924,-1.2299546481039998,-7.6217,-1.1348940900956832,3.749728993556,1.473118218805,3.5867437863535567,22213,0.3796836416599996,1.0515057967566983,0.028829504405370892,3.970045351896,0.0,0.0,7.6621543925080955,-7.633324888102725,-7.6621543925080955
gdb 22229,C[NH2+]CC(=O)C(C)=N[O-],-5.023221859292,-9.3857,-4.939629247738727,-1.545606725936,-8.4795,-1.6623010294017528,3.477615133356,0.906159708197,3.2773282183369745,22229,0.4232218592919999,2.4408832904343596,0.0745965468983578,3.654393274064,0.0,0.0,7.740593558909133,-7.665997012010775,-7.740593558909133
gdb 22230,C[NH2+]CC(=N[O-])C(C)=O,-5.039548690904,-10.2676,-6.436819989586913,-1.74152870528,-8.1208,-1.424788348356564,3.300741124226,2.146848569217,5.012031641230349,22230,0.4395486909039999,4.078556614056496,0.12945448614524654,3.4584712947200003,0.0,0.0,7.746584328139902,-7.617129841994656,-7.746584328139902
gdb 22438,C[NH+]=C(N)C(C=O)=N[O-],-4.767434830704,-9.2571,-4.905915765405211,-1.281656281542,-8.0457,-1.324392083969304,3.485778549162,1.211461808574,3.5815236814359066,22438,0.16743483070400061,2.3821859868776296,0.028802162219492798,3.918343718458,0.0,0.0,7.691657351087977,-7.662855188868484,-7.691657351087977
gdb 22441,CNC(=[NH2+])C(C=O)=N[O-],-4.767434830704,-9.2569,-4.905694036854631,-1.281656281542,-8.0456,-1.3242430519438777,3.485778549162,1.211380586294,3.581450984910753,22441,0.16743483070400061,2.3821859868776296,0.028802162219492798,3.918343718458,0.0,0.0,7.671491670614604,-7.642689508395112,-7.671491670614604
gdb 22482,NC=[NH+]CC(CO)=N[O-],-4.106198150418,-10.3653,-5.574981437260904,-1.923844991614,-6.887,-0.0607044156824055,2.179632020202,3.478342915263,5.514277021578499,22482,0.0,56.63826938455213,0.0,3.2761550083860005,0.0,0.0,5.508221337396509,-5.508221337396509,-5.508221337396509
gdb 22543,C[NH2+]C(C#C)C(C)=N[O-],-5.9157553207480005,-10.1428,-5.4690286744690155,-2.786445928448,-6.6216,-0.09833966093833359,3.1293093923,3.521246684949,5.370689013530682,22543,1.3157553207480006,6.538850835215799,0.6212697161177491,2.4135540715520003,0.0,0.0,7.388275910619087,-6.767006194501338,-7.388275910619087
gdb 22652,ON=C1CNC(C=O)=C1,-5.556565025284,-9.9588,-5.332334824263431,-2.206843406222,-8.4275,-2.2009596353606415,3.352442757664,1.531301480381,3.1313751889027897,22652,0.9565650252839999,3.5199560053788255,0.24313940655996022,2.993156593778,0.0,0.0,7.114806803014442,-6.871667396454482,-7.114806803014442
gdb 22876,CN1C=CC(=NO)C1=N,-5.36064304594,-9.9696,-5.256840922427085,-1.57826038916,-7.9757,-1.5096418549570385,3.779661518178,1.99389554545,3.7471990674700466,22876,0.76064304594,0.9547715013561054,0.0524425698968976,3.62173961084,0.0,0.0,7.331188625442142,-7.278746055545244,-7.331188625442142
gdb 22971,[O-]N=C(C#N)C1CC[NH2+]1,-6.35385863567,-10.6569,-6.41952572382934,-2.8816857795179995,-8.3003,-1.730500670640104,3.472172856152,2.35664572634,4.689025053189235,22971,1.75385863567,2.480737490459066,0.3141803467309476,2.3183142204820006,0.0,0.0,4.778029349563091,-4.463849002832144,-4.778029349563091
gdb 22973,[O-]N=C(C=O)C1CC[NH2+]1,-5.839563439892,-10.5343,-6.426236016744608,-2.82998414608,-8.7658,-2.060283347578394,3.00685815521,1.768551016774,4.365952669166214,22973,1.2395634398920004,9.020572227336654,0.807432945599885,2.37001585392,0.0,0.0,6.612367595288662,-5.804934649688777,-6.612367595288662
gdb 22979,OCC(=N[O-])C1CC[NH2+]1,-6.010995171818,-10.1432,-5.324441367123677,-2.77556137404,-6.7939,0.016546040505504598,3.232712659176,3.349284413701,5.340987407629182,22979,1.4109951718180003,4.933576382617476,0.5026793018568222,2.42443862596,0.0,0.0,7.447135506348018,-6.944456204491196,-7.447135506348018
gdb 23066,CC(=N[O-])C12C[NH+]1CC2,-5.53751705507,-10.159,-5.356689492129433,-2.223170237834,-6.8777,-0.2296942990475523,3.314346817236,3.281330938182,5.12699519308188,23066,0.9375170550700005,3.924360271690116,0.2656755979230762,2.976829762166,0.0,0.0,7.7982142532386804,-7.532538655315604,-7.7982142532386804
gdb 23140,[O-]N=C(CC#C)C1C[NH2+]1,-5.885822796126,-10.2687,-5.530873792016127,-2.663994691358,-6.9072,-0.3795279652148097,3.219106966166,3.361525824823,5.151345826801317,23140,1.285822796126,5.122552007677911,0.4756320555600128,2.5360053086420002,0.0,0.0,6.807682738252373,-6.33205068269236,-6.807682738252373
gdb 23152,COCC(=N[O-])C1C[NH2+]1,-5.855890271504,-10.4132,-5.495580371954507,-2.609571919318,-7.0659,-0.3826469590221009,3.246318352186,3.347305690803,5.1129334129324056,23152,1.2558902715040003,4.750819011320506,0.4308477220720745,2.5904280806820004,0.0,0.0,6.975819099988798,-6.544971377916724,-6.975819099988798
gdb 23364,NC(=[NH2+])C(=N[O-])C1CN1,-4.919818592415999,-10.0309,-6.2991376468213005,-1.33335791498,-7.2095,-0.6893035481957052,3.586460677436,2.821403256804,5.609834098625595,23364,0.31981859241599936,1.7561342559801583,0.040556927013400315,3.8666420850200005,0.0,0.0,7.54862426308271,-7.508067336069309,-7.54862426308271
gdb 23509,ON=C1C=C2NC3C2C13,-5.695343093986001,-9.7787,-5.346229231221602,-2.008200288276,-8.1779,-2.115195496957026,3.68714280571,1.600792754909,3.231033734264576,23509,1.0953430939860007,1.2834220449430387,0.10151337999697824,3.1917997117240002,0.0,0.0,6.128779770987926,-6.027266390990947,-6.128779770987926
gdb 23615,[O-]N=C(C1C[NH2+]1)C1CO1,-5.929361013758,-10.4609,-6.336376976190822,-2.655831275552,-6.8161,-0.00710080781283755,3.273529738206,3.644733118688,6.329276168377985,23615,1.3293610137580003,4.403268738591427,0.42268978173016586,2.5441687244480002,0.0,0.0,7.101850098524495,-6.679160316794329,-7.101850098524495
gdb 23724,FC1=CNC(=N)C=N1,-5.613708935926,-10.4952,-5.6124868492305096,-1.814999447534,-8.0529,-1.6761188702858987,3.798709488392,2.44235135462,3.936367978944611,23724,1.0137089359259999,0.8975414792253555,0.06570091566557995,3.385000552466,0.0,0.0,6.715694415005852,-6.649993499340272,-6.715694415005852
gdb 23840,FC1=NNC(=N)C=N1,-6.269503339008,-10.6802,-6.300896294881275,-2.484399543626,-8.833,-2.311581903964501,3.785103795382,1.84729506116,3.989314390916774,23840,1.6695033390079999,0.9380872659757545,0.11309259041567654,2.715600456374,0.0,0.0,6.333877789878131,-6.220785199462455,-6.333877789878131
gdb 23841,FC1=NNC(=N)N=C1,-6.266782200406,-10.5756,-6.314140947696898,-2.47623612782,-8.8901,-2.3729356113898974,3.790546072586,1.685432372089,3.9412053363070005,23841,1.6667822004060004,0.9216712016711172,0.11093242094154308,2.72376387218,0.0,0.0,6.255943041867521,-6.145010620925978,-6.255943041867521
gdb 24471,N1C=NC2=CN=CC2=C1,-5.26540319487,-9.7885,-5.246520525649726,-1.52383761712,-7.6484,-1.498544805795274,3.74156557775,2.140093537217,3.747975719854452,24471,0.6654031948700003,1.0794050437001892,0.05186482823556044,3.6761623828800003,0.0,0.0,6.618745866357418,-6.566881038121858,-6.618745866357418
gdb 24525,N1C=CC=C2C=NC=C12,-4.963356810048,-9.4375,-4.948431441900595,-1.567375834752,-7.5672,-1.54166130136433,3.395980975296,1.870327634981,3.4067701405362643,24525,0.3633568100480005,3.1038252114526883,0.08143932769162933,3.632624165248,0.0,0.0,7.012641994543562,-6.931202666851933,-7.012641994543562
gdb 24528,N1C=CN=C2C=CC=C12,-5.053154383914,-9.5133,-5.041065151139844,-1.5809815277619998,-7.6069,-1.5644554305174312,3.46945171755,1.906329012969,3.476609720622413,24528,0.4531543839140005,2.50088416564877,0.0818358093237543,3.6190184722380003,0.0,0.0,7.017587556673739,-6.935751747349984,-7.017587556673739
gdb 24530,N1C=CN=C2C=NC=C12,-5.336152798522,-9.8398,-5.326445305345181,-2.179632020202,-8.2084,-2.1571210927158306,3.15652077832,1.631388706139,3.16932421262935,24530,0.736152798522,6.0770438484160785,0.3230456939984362,3.0203679797980003,0.0,0.0,6.677801583613136,-6.3547558896147,-6.677801583613136
gdb 24535,N1C=NC=C2C=NC=C12,-5.450440619806,-9.8994,-5.438626066664666,-1.839489694952,-7.9507,-1.81840001610854,3.610950924854,1.948720055594,3.620226050556126,24535,0.8504406198059999,1.6284628601552382,0.10000586546915843,3.360510305048,0.0,0.0,6.672588693800246,-6.572582828331088,-6.672588693800246
gdb 24538,O1C=CC=C2C=CC=C12,-5.191932452615999,-9.6858,-5.168633877358683,-1.627240883996,-7.6713,-1.6511964048411012,3.56469156862,2.014473076683,3.517437472517582,24538,0.5919324526159995,1.8771893882858988,0.08023869567899633,3.572759116004,0.0,0.0,6.981037260815751,-6.900798565136754,-6.981037260815751
gdb 24540,O1C=CC=C2C=NC=C12,-5.51030566905,-10.0305,-5.474426907758719,-2.19051657461,-8.2603,-2.2119484201993402,3.31978909444,1.770195350931,3.262478487559379,24540,0.9103056690500002,3.8641550337138684,0.2540068384134189,3.00948342539,0.0,0.0,6.639275596087148,-6.385268757673729,-6.639275596087148
